sample_id,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
multiwoz_MUL1332_turn1,0.53,short,streaming,502.71,-1765189499129.03,1765189499631.73,
multiwoz_MUL1332_turn1,0.53,short,non-streaming,356.89,315.74,41.16,
multiwoz_PMUL4885_turn1,1.39,short,streaming,585.77,-1765189503344.49,1765189503930.25,
multiwoz_PMUL4885_turn1,1.39,short,non-streaming,419.81,378.20,41.61,
multiwoz_MUL1459_turn1,1.64,short,streaming,553.85,-1765189509586.31,1765189510140.16,
multiwoz_MUL1459_turn1,1.64,short,non-streaming,445.11,402.94,42.17,
multiwoz_MUL1215_turn1,1.70,short,streaming,539.34,-1765189515841.46,1765189516380.80,
multiwoz_MUL1215_turn1,1.70,short,non-streaming,450.55,404.13,46.42,
multiwoz_PMUL0237_turn1,2.63,short,streaming,579.30,-1765189524316.45,1765189524895.76,
multiwoz_PMUL0237_turn1,2.63,short,non-streaming,479.17,437.97,41.21,
multiwoz_MUL0666_turn1,2.87,short,streaming,632.97,-1765189531832.70,1765189532465.68,
multiwoz_MUL0666_turn1,2.87,short,non-streaming,552.71,507.67,45.04,
multiwoz_MUL1152_turn1,2.88,short,streaming,711.14,-1765189539742.52,1765189540453.67,
multiwoz_MUL1152_turn1,2.88,short,non-streaming,525.12,476.82,48.29,
multiwoz_MUL0069_turn1,2.94,short,streaming,545.98,-1765189547403.84,1765189547949.82,
multiwoz_MUL0069_turn1,2.94,short,non-streaming,468.48,427.98,40.50,
multiwoz_PMUL2590_turn1,2.94,short,streaming,564.75,-1765189554887.14,1765189555451.89,
multiwoz_PMUL2590_turn1,2.94,short,non-streaming,463.14,420.80,42.33,
multiwoz_PMUL4254_turn1,2.94,short,streaming,601.50,-1765189561935.29,1765189562536.79,
multiwoz_PMUL4254_turn1,2.94,short,non-streaming,541.41,491.12,50.28,
multiwoz_PMUL1745_turn1,2.96,short,streaming,615.50,-1765189570140.82,1765189570756.33,
multiwoz_PMUL1745_turn1,2.96,short,non-streaming,543.16,496.35,46.81,
multiwoz_MUL1031_turn1,2.98,short,streaming,598.78,-1765189577508.38,1765189578107.17,
multiwoz_MUL1031_turn1,2.98,short,non-streaming,542.32,491.28,51.04,
multiwoz_MUL1320_turn1,3.05,short,streaming,598.09,-1765189585972.51,1765189586570.60,
multiwoz_MUL1320_turn1,3.05,short,non-streaming,489.64,447.15,42.49,
multiwoz_PMUL0460_turn1,3.09,short,streaming,591.53,-1765189593877.12,1765189594468.66,
multiwoz_PMUL0460_turn1,3.09,short,non-streaming,496.10,449.59,46.51,
multiwoz_PMUL2936_turn1,3.11,short,streaming,665.45,-1765189601451.58,1765189602117.03,
multiwoz_PMUL2936_turn1,3.11,short,non-streaming,513.01,469.76,43.25,
multiwoz_MUL1203_turn1,3.29,short,streaming,602.79,-1765189609338.89,1765189609941.68,
multiwoz_MUL1203_turn1,3.29,short,non-streaming,523.93,476.93,47.00,
crosswoz_98_turn1,3.32,short,streaming,673.12,-1765189617457.71,1765189618130.82,
crosswoz_98_turn1,3.32,short,non-streaming,641.12,562.46,78.66,
multiwoz_MUL2018_turn1,3.39,short,streaming,637.21,-1765189625593.18,1765189626230.39,
multiwoz_MUL2018_turn1,3.39,short,non-streaming,564.67,512.56,52.11,
multiwoz_MUL2174_turn1,3.46,short,streaming,638.05,-1765189633767.56,1765189634405.60,
multiwoz_MUL2174_turn1,3.46,short,non-streaming,496.09,450.50,45.58,
crosswoz_8672_turn1,3.68,short,streaming,755.06,-1765189642767.64,1765189643522.70,
crosswoz_8672_turn1,3.68,short,non-streaming,627.83,566.36,61.48,
multiwoz_PMUL3103_turn1,3.71,short,streaming,692.62,-1765189652254.11,1765189652946.73,
multiwoz_PMUL3103_turn1,3.71,short,non-streaming,531.80,488.96,42.85,
multiwoz_PMUL0322_turn1,3.79,short,streaming,642.09,-1765189660421.18,1765189661063.27,
multiwoz_PMUL0322_turn1,3.79,short,non-streaming,536.35,482.22,54.13,
multiwoz_MUL0193_turn1,4.02,short,streaming,615.98,-1765189669845.47,1765189670461.46,
multiwoz_MUL0193_turn1,4.02,short,non-streaming,514.86,468.67,46.19,
