sample_id,dataset,language,dialog_id,turn_index,text_length,duration_group,audio_duration_s,baseline_ttft_ms,streaming_asr_ttft_ms,full_streaming_ttft_ms,asr_gain_ms,kv_gain_ms,total_gain_ms,total_gain_ratio_%
crosswoz_11613_turn2,crosswoz,zh,11613,2,70,long,15.39,1379.71,989.97,1016.60,389.75,-26.64,363.11,26.3
crosswoz_11735_turn2,crosswoz,zh,11735,2,75,long,15.85,1448.45,832.43,804.38,616.01,28.06,644.07,44.5
crosswoz_9200_turn2,crosswoz,zh,9200,2,80,long,16.20,1451.31,942.92,937.60,508.39,5.33,513.72,35.4
crosswoz_12315_turn2,crosswoz,zh,12315,2,85,long,16.93,1493.13,1614.87,1600.79,-121.74,14.08,-107.67,-7.2
crosswoz_9365_turn2,crosswoz,zh,9365,2,87,long,16.93,1454.30,1020.64,1042.00,433.67,-21.37,412.30,28.4
crosswoz_8717_turn2,crosswoz,zh,8717,2,88,long,17.28,1621.65,1093.49,1069.66,528.17,23.82,551.99,34.0
crosswoz_9394_turn2,crosswoz,zh,9394,2,77,long,17.37,1655.94,776.27,796.50,879.67,-20.23,859.45,51.9
crosswoz_10382_turn2,crosswoz,zh,10382,2,87,long,17.61,1590.57,767.81,790.15,822.75,-22.33,800.42,50.3
crosswoz_7310_turn2,crosswoz,zh,7310,2,89,long,17.80,1622.85,1422.66,1482.62,200.19,-59.97,140.22,8.6
crosswoz_10661_turn2,crosswoz,zh,10661,2,92,long,18.02,1674.36,1796.51,1828.69,-122.15,-32.18,-154.34,-9.2
crosswoz_7701_turn2,crosswoz,zh,7701,2,90,long,18.11,1572.00,993.04,1004.59,578.96,-11.55,567.41,36.1
crosswoz_9956_turn3,crosswoz,zh,9956,3,83,long,18.11,1643.47,666.25,697.03,977.22,-30.77,946.44,57.6
crosswoz_8424_turn2,crosswoz,zh,8424,2,89,long,18.34,1566.26,1024.27,1068.02,541.99,-43.75,498.24,31.8
crosswoz_11406_turn2,crosswoz,zh,11406,2,92,long,18.89,1540.06,759.30,746.04,780.76,13.26,794.02,51.6
crosswoz_497_turn2,crosswoz,zh,497,2,98,long,19.02,1797.33,1573.59,1606.79,223.74,-33.20,190.54,10.6
crosswoz_10197_turn2,crosswoz,zh,10197,2,98,long,19.05,1716.05,1713.06,1776.87,2.98,-63.81,-60.83,-3.5
crosswoz_962_turn2,crosswoz,zh,962,2,93,long,19.21,1626.09,961.35,1014.19,664.74,-52.84,611.90,37.6
crosswoz_2228_turn2,crosswoz,zh,2228,2,93,long,19.46,1737.14,917.49,919.63,819.65,-2.14,817.51,47.1
crosswoz_10574_turn2,crosswoz,zh,10574,2,93,long,19.47,1604.60,1258.17,1254.28,346.43,3.89,350.31,21.8
crosswoz_422_turn2,crosswoz,zh,422,2,98,long,19.48,1737.72,1225.99,1249.94,511.73,-23.96,487.77,28.1
crosswoz_7196_turn2,crosswoz,zh,7196,2,102,long,19.83,1814.50,1893.35,1939.60,-78.85,-46.26,-125.10,-6.9
crosswoz_1101_turn2,crosswoz,zh,1101,2,94,long,20.52,1866.31,796.93,825.37,1069.37,-28.44,1040.93,55.8
crosswoz_8707_turn2,crosswoz,zh,8707,2,96,long,20.62,1752.69,1877.68,1831.63,-124.99,46.05,-78.94,-4.5
crosswoz_8907_turn2,crosswoz,zh,8907,2,108,long,20.70,1799.50,1818.87,1861.23,-19.37,-42.36,-61.73,-3.4
crosswoz_11334_turn2,crosswoz,zh,11334,2,103,long,21.25,1922.47,1281.70,1283.17,640.77,-1.47,639.30,33.3
crosswoz_10749_turn2,crosswoz,zh,10749,2,103,long,21.50,1869.16,1262.12,1290.50,607.05,-28.38,578.67,31.0
crosswoz_9577_turn2,crosswoz,zh,9577,2,109,long,21.77,1770.11,1124.84,1125.19,645.27,-0.35,644.92,36.4
crosswoz_9173_turn2,crosswoz,zh,9173,2,110,long,22.05,1676.89,1148.32,1179.67,528.57,-31.35,497.22,29.7
crosswoz_11730_turn2,crosswoz,zh,11730,2,112,long,22.45,1878.50,1085.70,1093.94,792.80,-8.24,784.56,41.8
crosswoz_10331_turn2,crosswoz,zh,10331,2,113,long,22.48,1856.32,1140.85,1133.22,715.46,7.63,723.10,39.0
crosswoz_98_turn2,crosswoz,zh,98,2,104,long,22.87,1945.54,852.11,841.05,1093.43,11.05,1104.49,56.8
crosswoz_10040_turn2,crosswoz,zh,10040,2,112,long,22.91,1930.44,982.14,958.77,948.30,23.37,971.67,50.3
