sample_id,dataset,language,dialog_id,turn_index,text_length,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
crosswoz_11613_turn2,crosswoz,zh,11613,2,70,15.39,long,baseline,1379.71,1330.90,48.81,
crosswoz_11613_turn2,crosswoz,zh,11613,2,70,15.39,long,streaming_asr_only,989.97,910.23,79.74,
crosswoz_11613_turn2,crosswoz,zh,11613,2,70,15.39,long,full_streaming,1016.60,927.33,89.28,
crosswoz_11735_turn2,crosswoz,zh,11735,2,75,15.85,long,baseline,1448.45,1399.60,48.85,
crosswoz_11735_turn2,crosswoz,zh,11735,2,75,15.85,long,streaming_asr_only,832.43,773.57,58.86,
crosswoz_11735_turn2,crosswoz,zh,11735,2,75,15.85,long,full_streaming,804.38,719.89,84.49,
crosswoz_9200_turn2,crosswoz,zh,9200,2,80,16.20,long,baseline,1451.31,1406.80,44.51,
crosswoz_9200_turn2,crosswoz,zh,9200,2,80,16.20,long,streaming_asr_only,942.92,869.73,73.19,
crosswoz_9200_turn2,crosswoz,zh,9200,2,80,16.20,long,full_streaming,937.60,848.29,89.31,
crosswoz_12315_turn2,crosswoz,zh,12315,2,85,16.93,long,baseline,1493.13,1443.54,49.59,
crosswoz_12315_turn2,crosswoz,zh,12315,2,85,16.93,long,streaming_asr_only,1614.87,1548.02,66.85,
crosswoz_12315_turn2,crosswoz,zh,12315,2,85,16.93,long,full_streaming,1600.79,1495.12,105.67,
crosswoz_9365_turn2,crosswoz,zh,9365,2,87,16.93,long,baseline,1454.30,1401.49,52.82,
crosswoz_9365_turn2,crosswoz,zh,9365,2,87,16.93,long,streaming_asr_only,1020.64,951.35,69.29,
crosswoz_9365_turn2,crosswoz,zh,9365,2,87,16.93,long,full_streaming,1042.00,950.69,91.31,
crosswoz_8717_turn2,crosswoz,zh,8717,2,88,17.28,long,baseline,1621.65,1573.94,47.71,
crosswoz_8717_turn2,crosswoz,zh,8717,2,88,17.28,long,streaming_asr_only,1093.49,1017.83,75.66,
crosswoz_8717_turn2,crosswoz,zh,8717,2,88,17.28,long,full_streaming,1069.66,962.61,107.06,
crosswoz_9394_turn2,crosswoz,zh,9394,2,77,17.37,long,baseline,1655.94,1606.65,49.29,
crosswoz_9394_turn2,crosswoz,zh,9394,2,77,17.37,long,streaming_asr_only,776.27,705.20,71.07,
crosswoz_9394_turn2,crosswoz,zh,9394,2,77,17.37,long,full_streaming,796.50,707.85,88.65,
crosswoz_10382_turn2,crosswoz,zh,10382,2,87,17.61,long,baseline,1590.57,1543.50,47.07,
crosswoz_10382_turn2,crosswoz,zh,10382,2,87,17.61,long,streaming_asr_only,767.81,697.74,70.08,
crosswoz_10382_turn2,crosswoz,zh,10382,2,87,17.61,long,full_streaming,790.15,705.38,84.77,
crosswoz_7310_turn2,crosswoz,zh,7310,2,89,17.80,long,baseline,1622.85,1563.10,59.75,
crosswoz_7310_turn2,crosswoz,zh,7310,2,89,17.80,long,streaming_asr_only,1422.66,1357.68,64.98,
crosswoz_7310_turn2,crosswoz,zh,7310,2,89,17.80,long,full_streaming,1482.62,1375.45,107.17,
crosswoz_10661_turn2,crosswoz,zh,10661,2,92,18.02,long,baseline,1674.36,1616.19,58.17,
crosswoz_10661_turn2,crosswoz,zh,10661,2,92,18.02,long,streaming_asr_only,1796.51,1738.94,57.57,
crosswoz_10661_turn2,crosswoz,zh,10661,2,92,18.02,long,full_streaming,1828.69,1713.56,115.13,
crosswoz_7701_turn2,crosswoz,zh,7701,2,90,18.11,long,baseline,1572.00,1521.22,50.79,
crosswoz_7701_turn2,crosswoz,zh,7701,2,90,18.11,long,streaming_asr_only,993.04,923.72,69.33,
crosswoz_7701_turn2,crosswoz,zh,7701,2,90,18.11,long,full_streaming,1004.59,913.48,91.11,
crosswoz_9956_turn3,crosswoz,zh,9956,3,83,18.11,long,baseline,1643.47,1595.41,48.06,
crosswoz_9956_turn3,crosswoz,zh,9956,3,83,18.11,long,streaming_asr_only,666.25,597.13,69.12,
crosswoz_9956_turn3,crosswoz,zh,9956,3,83,18.11,long,full_streaming,697.03,611.12,85.90,
crosswoz_8424_turn2,crosswoz,zh,8424,2,89,18.34,long,baseline,1566.26,1506.18,60.07,
crosswoz_8424_turn2,crosswoz,zh,8424,2,89,18.34,long,streaming_asr_only,1024.27,955.85,68.42,
crosswoz_8424_turn2,crosswoz,zh,8424,2,89,18.34,long,full_streaming,1068.02,958.45,109.57,
crosswoz_11406_turn2,crosswoz,zh,11406,2,92,18.89,long,baseline,1540.06,1482.69,57.37,
crosswoz_11406_turn2,crosswoz,zh,11406,2,92,18.89,long,streaming_asr_only,759.30,692.06,67.24,
crosswoz_11406_turn2,crosswoz,zh,11406,2,92,18.89,long,full_streaming,746.04,659.35,86.69,
crosswoz_497_turn2,crosswoz,zh,497,2,98,19.02,long,baseline,1797.33,1740.38,56.96,
crosswoz_497_turn2,crosswoz,zh,497,2,98,19.02,long,streaming_asr_only,1573.59,1499.43,74.16,
crosswoz_497_turn2,crosswoz,zh,497,2,98,19.02,long,full_streaming,1606.79,1502.41,104.38,
crosswoz_10197_turn2,crosswoz,zh,10197,2,98,19.05,long,baseline,1716.05,1668.11,47.93,
crosswoz_10197_turn2,crosswoz,zh,10197,2,98,19.05,long,streaming_asr_only,1713.06,1649.01,64.06,
crosswoz_10197_turn2,crosswoz,zh,10197,2,98,19.05,long,full_streaming,1776.87,1656.80,120.07,
crosswoz_962_turn2,crosswoz,zh,962,2,93,19.21,long,baseline,1626.09,1564.17,61.92,
crosswoz_962_turn2,crosswoz,zh,962,2,93,19.21,long,streaming_asr_only,961.35,895.21,66.13,
crosswoz_962_turn2,crosswoz,zh,962,2,93,19.21,long,full_streaming,1014.19,923.55,90.64,
crosswoz_2228_turn2,crosswoz,zh,2228,2,93,19.46,long,baseline,1737.14,1689.15,47.99,
crosswoz_2228_turn2,crosswoz,zh,2228,2,93,19.46,long,streaming_asr_only,917.49,858.67,58.82,
crosswoz_2228_turn2,crosswoz,zh,2228,2,93,19.46,long,full_streaming,919.63,832.41,87.21,
crosswoz_10574_turn2,crosswoz,zh,10574,2,93,19.47,long,baseline,1604.60,1545.82,58.77,
crosswoz_10574_turn2,crosswoz,zh,10574,2,93,19.47,long,streaming_asr_only,1258.17,1178.71,79.46,
crosswoz_10574_turn2,crosswoz,zh,10574,2,93,19.47,long,full_streaming,1254.28,1141.87,112.42,
crosswoz_422_turn2,crosswoz,zh,422,2,98,19.48,long,baseline,1737.72,1676.44,61.27,
crosswoz_422_turn2,crosswoz,zh,422,2,98,19.48,long,streaming_asr_only,1225.99,1157.96,68.02,
crosswoz_422_turn2,crosswoz,zh,422,2,98,19.48,long,full_streaming,1249.94,1157.03,92.92,
crosswoz_7196_turn2,crosswoz,zh,7196,2,102,19.83,long,baseline,1814.50,1756.07,58.43,
crosswoz_7196_turn2,crosswoz,zh,7196,2,102,19.83,long,streaming_asr_only,1893.35,1823.88,69.46,
crosswoz_7196_turn2,crosswoz,zh,7196,2,102,19.83,long,full_streaming,1939.60,1827.39,112.21,
crosswoz_1101_turn2,crosswoz,zh,1101,2,94,20.52,long,baseline,1866.31,1804.30,62.01,
crosswoz_1101_turn2,crosswoz,zh,1101,2,94,20.52,long,streaming_asr_only,796.93,709.84,87.09,
crosswoz_1101_turn2,crosswoz,zh,1101,2,94,20.52,long,full_streaming,825.37,737.94,87.43,
crosswoz_8707_turn2,crosswoz,zh,8707,2,96,20.62,long,baseline,1752.69,1691.16,61.53,
crosswoz_8707_turn2,crosswoz,zh,8707,2,96,20.62,long,streaming_asr_only,1877.68,1800.90,76.78,
crosswoz_8707_turn2,crosswoz,zh,8707,2,96,20.62,long,full_streaming,1831.63,1722.80,108.83,
crosswoz_8907_turn2,crosswoz,zh,8907,2,108,20.70,long,baseline,1799.50,1740.08,59.42,
crosswoz_8907_turn2,crosswoz,zh,8907,2,108,20.70,long,streaming_asr_only,1818.87,1745.98,72.89,
crosswoz_8907_turn2,crosswoz,zh,8907,2,108,20.70,long,full_streaming,1861.23,1749.23,111.99,
crosswoz_11334_turn2,crosswoz,zh,11334,2,103,21.25,long,baseline,1922.47,1875.49,46.98,
crosswoz_11334_turn2,crosswoz,zh,11334,2,103,21.25,long,streaming_asr_only,1281.70,1213.74,67.96,
crosswoz_11334_turn2,crosswoz,zh,11334,2,103,21.25,long,full_streaming,1283.17,1178.59,104.58,
crosswoz_10749_turn2,crosswoz,zh,10749,2,103,21.50,long,baseline,1869.16,1808.86,60.30,
crosswoz_10749_turn2,crosswoz,zh,10749,2,103,21.50,long,streaming_asr_only,1262.12,1187.51,74.61,
crosswoz_10749_turn2,crosswoz,zh,10749,2,103,21.50,long,full_streaming,1290.50,1203.62,86.88,
crosswoz_9577_turn2,crosswoz,zh,9577,2,109,21.77,long,baseline,1770.11,1707.01,63.10,
crosswoz_9577_turn2,crosswoz,zh,9577,2,109,21.77,long,streaming_asr_only,1124.84,1060.22,64.61,
crosswoz_9577_turn2,crosswoz,zh,9577,2,109,21.77,long,full_streaming,1125.19,1038.50,86.69,
crosswoz_9173_turn2,crosswoz,zh,9173,2,110,22.05,long,baseline,1676.89,1616.64,60.25,
crosswoz_9173_turn2,crosswoz,zh,9173,2,110,22.05,long,streaming_asr_only,1148.32,1082.24,66.08,
crosswoz_9173_turn2,crosswoz,zh,9173,2,110,22.05,long,full_streaming,1179.67,1093.93,85.74,
crosswoz_11730_turn2,crosswoz,zh,11730,2,112,22.45,long,baseline,1878.50,1826.20,52.30,
crosswoz_11730_turn2,crosswoz,zh,11730,2,112,22.45,long,streaming_asr_only,1085.70,1016.26,69.44,
crosswoz_11730_turn2,crosswoz,zh,11730,2,112,22.45,long,full_streaming,1093.94,1008.08,85.86,
crosswoz_10331_turn2,crosswoz,zh,10331,2,113,22.48,long,baseline,1856.32,1803.59,52.73,
crosswoz_10331_turn2,crosswoz,zh,10331,2,113,22.48,long,streaming_asr_only,1140.85,1073.17,67.69,
crosswoz_10331_turn2,crosswoz,zh,10331,2,113,22.48,long,full_streaming,1133.22,1046.15,87.07,
crosswoz_98_turn2,crosswoz,zh,98,2,104,22.87,long,baseline,1945.54,1897.88,47.66,
crosswoz_98_turn2,crosswoz,zh,98,2,104,22.87,long,streaming_asr_only,852.11,782.45,69.66,
crosswoz_98_turn2,crosswoz,zh,98,2,104,22.87,long,full_streaming,841.05,755.72,85.34,
crosswoz_10040_turn2,crosswoz,zh,10040,2,112,22.91,long,baseline,1930.44,1882.92,47.52,
crosswoz_10040_turn2,crosswoz,zh,10040,2,112,22.91,long,streaming_asr_only,982.14,922.51,59.63,
crosswoz_10040_turn2,crosswoz,zh,10040,2,112,22.91,long,full_streaming,958.77,872.39,86.38,
crosswoz_11361_turn2,crosswoz,zh,11361,2,120,23.64,long,baseline,2077.90,2017.98,59.92,
crosswoz_11361_turn2,crosswoz,zh,11361,2,120,23.64,long,streaming_asr_only,1553.77,1484.93,68.84,
crosswoz_11361_turn2,crosswoz,zh,11361,2,120,23.64,long,full_streaming,1608.33,1518.06,90.27,
crosswoz_11613_turn3,crosswoz,zh,11613,3,112,24.09,long,baseline,2042.35,1988.25,54.10,
crosswoz_11613_turn3,crosswoz,zh,11613,3,112,24.09,long,streaming_asr_only,694.70,626.35,68.36,
crosswoz_11613_turn3,crosswoz,zh,11613,3,112,24.09,long,full_streaming,726.22,641.46,84.77,
crosswoz_8202_turn2,crosswoz,zh,8202,2,117,24.22,long,baseline,1869.14,1822.88,46.26,
crosswoz_8202_turn2,crosswoz,zh,8202,2,117,24.22,long,streaming_asr_only,1146.17,1077.04,69.14,
