sample_id,dataset,language,dialog_id,turn_index,text_length,audio_duration,duration_group,mode,wer,cer,asr_time_ms,error
multiwoz_MUL1353_turn1,multiwoz,en,MUL1353,1,71,5.08,medium,non-streaming,0.1429,0.0735,499.99,
multiwoz_MUL1353_turn1,multiwoz,en,MUL1353,1,71,5.08,medium,streaming,1.0000,1.0000,0.00,asr_no_text
multiwoz_MUL0789_turn1,multiwoz,en,MUL0789,1,80,5.19,medium,non-streaming,0.2000,0.1316,537.31,
multiwoz_MUL0789_turn1,multiwoz,en,MUL0789,1,80,5.19,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_11334_turn1,crosswoz,zh,11334,1,26,5.22,medium,non-streaming,0.0870,0.0870,708.22,
crosswoz_11334_turn1,crosswoz,zh,11334,1,26,5.22,medium,streaming,1.0000,1.0000,0.00,asr_no_text
multiwoz_PMUL2034_turn1,multiwoz,en,PMUL2034,1,93,5.22,medium,non-streaming,0.0000,0.0000,575.50,
multiwoz_PMUL2034_turn1,multiwoz,en,PMUL2034,1,93,5.22,medium,streaming,1.0000,1.0000,0.00,asr_no_text
multiwoz_MUL2016_turn1,multiwoz,en,MUL2016,1,75,5.24,medium,non-streaming,0.0667,0.0274,513.32,
multiwoz_MUL2016_turn1,multiwoz,en,MUL2016,1,75,5.24,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_9394_turn1,crosswoz,zh,9394,1,26,5.34,medium,non-streaming,0.0000,0.0000,686.77,
crosswoz_9394_turn1,crosswoz,zh,9394,1,26,5.34,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_11735_turn1,crosswoz,zh,11735,1,27,5.43,medium,non-streaming,0.0000,0.0000,644.86,
crosswoz_11735_turn1,crosswoz,zh,11735,1,27,5.43,medium,streaming,1.0000,1.0000,0.00,asr_no_text
multiwoz_PMUL0085_turn1,multiwoz,en,PMUL0085,1,88,5.78,medium,non-streaming,0.1667,0.1163,577.55,
multiwoz_PMUL0085_turn1,multiwoz,en,PMUL0085,1,88,5.78,medium,streaming,0.8333,0.7093,631.28,
multiwoz_MUL2157_turn1,multiwoz,en,MUL2157,1,99,5.86,medium,non-streaming,0.4444,0.1031,574.83,
multiwoz_MUL2157_turn1,multiwoz,en,MUL2157,1,99,5.86,medium,streaming,0.8333,0.8454,602.09,
crosswoz_2228_turn1,crosswoz,zh,2228,1,30,5.89,medium,non-streaming,0.0741,0.0741,705.98,
crosswoz_2228_turn1,crosswoz,zh,2228,1,30,5.89,medium,streaming,1.0000,1.0000,0.00,asr_no_text
multiwoz_MUL0176_turn1,multiwoz,en,MUL0176,1,94,5.99,medium,non-streaming,0.0952,0.0215,577.66,
multiwoz_MUL0176_turn1,multiwoz,en,MUL0176,1,94,5.99,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_10661_turn1,crosswoz,zh,10661,1,32,6.06,medium,non-streaming,0.0000,0.0000,710.79,
crosswoz_10661_turn1,crosswoz,zh,10661,1,32,6.06,medium,streaming,1.0000,1.0000,0.00,asr_no_text
multiwoz_PMUL0271_turn1,multiwoz,en,PMUL0271,1,100,6.12,medium,non-streaming,0.0500,0.0204,598.98,
multiwoz_PMUL0271_turn1,multiwoz,en,PMUL0271,1,100,6.12,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_12315_turn1,crosswoz,zh,12315,1,30,6.13,medium,non-streaming,0.0741,0.0741,657.10,
crosswoz_12315_turn1,crosswoz,zh,12315,1,30,6.13,medium,streaming,1.0000,1.0000,0.00,asr_no_text
multiwoz_PMUL2130_turn1,multiwoz,en,PMUL2130,1,102,6.21,medium,non-streaming,0.0000,0.0000,590.93,
multiwoz_PMUL2130_turn1,multiwoz,en,PMUL2130,1,102,6.21,medium,streaming,0.7895,0.8485,640.22,
crosswoz_10197_turn1,crosswoz,zh,10197,1,33,6.27,medium,non-streaming,0.0000,0.0000,681.74,
crosswoz_10197_turn1,crosswoz,zh,10197,1,33,6.27,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_8796_turn1,crosswoz,zh,8796,1,31,6.29,medium,non-streaming,0.0714,0.0714,696.77,
crosswoz_8796_turn1,crosswoz,zh,8796,1,31,6.29,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_9956_turn1,crosswoz,zh,9956,1,31,6.29,medium,non-streaming,0.0000,0.0000,684.45,
crosswoz_9956_turn1,crosswoz,zh,9956,1,31,6.29,medium,streaming,1.0000,1.0000,0.00,asr_no_text
multiwoz_MUL1001_turn1,multiwoz,en,MUL1001,1,98,6.41,medium,non-streaming,0.0588,0.0105,595.15,
multiwoz_MUL1001_turn1,multiwoz,en,MUL1001,1,98,6.41,medium,streaming,0.5882,0.5263,683.54,
crosswoz_8707_turn1,crosswoz,zh,8707,1,34,6.44,medium,non-streaming,0.0000,0.0000,749.75,
crosswoz_8707_turn1,crosswoz,zh,8707,1,34,6.44,medium,streaming,1.0000,1.0000,0.00,asr_no_text
multiwoz_MUL0711_turn1,multiwoz,en,MUL0711,1,90,6.48,medium,non-streaming,0.1111,0.0460,562.60,
multiwoz_MUL0711_turn1,multiwoz,en,MUL0711,1,90,6.48,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_8436_turn1,crosswoz,zh,8436,1,35,6.51,medium,non-streaming,0.1290,0.1290,720.40,
crosswoz_8436_turn1,crosswoz,zh,8436,1,35,6.51,medium,streaming,0.6774,0.6774,819.83,
crosswoz_7196_turn1,crosswoz,zh,7196,1,35,6.64,medium,non-streaming,0.0323,0.0323,828.23,
crosswoz_7196_turn1,crosswoz,zh,7196,1,35,6.64,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_497_turn1,crosswoz,zh,497,1,36,6.85,medium,non-streaming,0.0645,0.0645,716.30,
crosswoz_497_turn1,crosswoz,zh,497,1,36,6.85,medium,streaming,0.5806,0.5806,796.46,
multiwoz_MUL1003_turn1,multiwoz,en,MUL1003,1,102,7.20,medium,non-streaming,0.0000,0.0000,621.67,
multiwoz_MUL1003_turn1,multiwoz,en,MUL1003,1,102,7.20,medium,streaming,0.6316,0.7041,671.62,
crosswoz_11613_turn1,crosswoz,zh,11613,1,36,7.38,medium,non-streaming,0.0968,0.0968,794.97,
crosswoz_11613_turn1,crosswoz,zh,11613,1,36,7.38,medium,streaming,0.6774,0.6774,846.82,
crosswoz_11361_turn1,crosswoz,zh,11361,1,36,7.51,medium,non-streaming,0.0303,0.0303,777.42,
crosswoz_11361_turn1,crosswoz,zh,11361,1,36,7.51,medium,streaming,0.6364,0.6364,866.40,
crosswoz_9200_turn1,crosswoz,zh,9200,1,38,7.62,medium,non-streaming,0.1613,0.1562,770.08,
crosswoz_9200_turn1,crosswoz,zh,9200,1,38,7.62,medium,streaming,0.6774,0.6562,888.72,
multiwoz_PMUL4885_turn2,multiwoz,en,PMUL4885,2,113,7.64,medium,non-streaming,0.1600,0.1101,703.22,
multiwoz_PMUL4885_turn2,multiwoz,en,PMUL4885,2,113,7.64,medium,streaming,0.2000,0.1009,649.33,
crosswoz_8907_turn1,crosswoz,zh,8907,1,39,7.69,medium,non-streaming,0.1212,0.1176,769.12,
crosswoz_8907_turn1,crosswoz,zh,8907,1,39,7.69,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_9365_turn1,crosswoz,zh,9365,1,39,7.72,medium,non-streaming,0.0882,0.0882,813.07,
crosswoz_9365_turn1,crosswoz,zh,9365,1,39,7.72,medium,streaming,1.0000,1.0000,0.00,asr_no_text
multiwoz_MUL0641_turn1,multiwoz,en,MUL0641,1,117,7.72,medium,non-streaming,0.0833,0.0614,704.03,
multiwoz_MUL0641_turn1,multiwoz,en,MUL0641,1,117,7.72,medium,streaming,0.5000,0.5702,804.92,
multiwoz_MUL0076_turn1,multiwoz,en,MUL0076,1,116,7.81,medium,non-streaming,0.0909,0.0093,702.01,
multiwoz_MUL0076_turn1,multiwoz,en,MUL0076,1,116,7.81,medium,streaming,0.5455,0.5185,807.48,
