sample_id,dataset,language,dialog_id,turn_index,text_length,audio_duration,duration_group,mode,wer,cer,asr_time_ms,error
multiwoz_MUL1353_turn1,multiwoz,en,MUL1353,1,71,5.08,medium,non-streaming,0.0000,0.0000,503.68,
multiwoz_MUL1353_turn1,multiwoz,en,MUL1353,1,71,5.08,medium,streaming,0.0000,0.0000,594.65,
multiwoz_MUL0789_turn1,multiwoz,en,MUL0789,1,80,5.19,medium,non-streaming,0.0000,0.0000,547.79,
multiwoz_MUL0789_turn1,multiwoz,en,MUL0789,1,80,5.19,medium,streaming,0.0000,0.0000,599.46,
crosswoz_11334_turn1,crosswoz,zh,11334,1,26,5.22,medium,non-streaming,0.0000,0.0000,722.07,
crosswoz_11334_turn1,crosswoz,zh,11334,1,26,5.22,medium,streaming,0.0000,0.0000,800.46,
multiwoz_PMUL2034_turn1,multiwoz,en,PMUL2034,1,93,5.22,medium,non-streaming,0.0000,0.0000,588.93,
multiwoz_PMUL2034_turn1,multiwoz,en,PMUL2034,1,93,5.22,medium,streaming,0.0000,0.0000,625.29,
multiwoz_MUL2016_turn1,multiwoz,en,MUL2016,1,75,5.24,medium,non-streaming,0.0000,0.0000,513.83,
multiwoz_MUL2016_turn1,multiwoz,en,MUL2016,1,75,5.24,medium,streaming,0.0000,0.0000,574.74,
crosswoz_9394_turn1,crosswoz,zh,9394,1,26,5.34,medium,non-streaming,0.0000,0.0000,703.53,
crosswoz_9394_turn1,crosswoz,zh,9394,1,26,5.34,medium,streaming,0.0000,0.0000,761.78,
crosswoz_11735_turn1,crosswoz,zh,11735,1,27,5.43,medium,non-streaming,0.0000,0.0000,659.70,
crosswoz_11735_turn1,crosswoz,zh,11735,1,27,5.43,medium,streaming,0.0000,0.0000,704.75,
multiwoz_PMUL0085_turn1,multiwoz,en,PMUL0085,1,88,5.78,medium,non-streaming,0.0000,0.0000,594.28,
multiwoz_PMUL0085_turn1,multiwoz,en,PMUL0085,1,88,5.78,medium,streaming,0.1579,0.0549,398.92,
multiwoz_MUL2157_turn1,multiwoz,en,MUL2157,1,99,5.86,medium,non-streaming,0.0000,0.0000,576.75,
multiwoz_MUL2157_turn1,multiwoz,en,MUL2157,1,99,5.86,medium,streaming,0.2105,0.0632,381.00,
crosswoz_2228_turn1,crosswoz,zh,2228,1,30,5.89,medium,non-streaming,0.0000,0.0000,721.89,
crosswoz_2228_turn1,crosswoz,zh,2228,1,30,5.89,medium,streaming,0.0000,0.0000,758.07,
multiwoz_MUL0176_turn1,multiwoz,en,MUL0176,1,94,5.99,medium,non-streaming,0.0000,0.0000,591.88,
multiwoz_MUL0176_turn1,multiwoz,en,MUL0176,1,94,5.99,medium,streaming,0.0000,0.0000,624.83,
crosswoz_10661_turn1,crosswoz,zh,10661,1,32,6.06,medium,non-streaming,0.0000,0.0000,721.26,
crosswoz_10661_turn1,crosswoz,zh,10661,1,32,6.06,medium,streaming,0.0000,0.0000,785.35,
