sample_id,dataset,language,dialog_id,turn_index,text_length,audio_duration,duration_group,mode,wer,cer,asr_time_ms,error
multiwoz_MUL1353_turn1,multiwoz,en,MUL1353,1,71,5.08,medium,non-streaming,0.0000,0.0000,510.01,
multiwoz_MUL1353_turn1,multiwoz,en,MUL1353,1,71,5.08,medium,streaming,0.0000,0.0000,601.26,
multiwoz_MUL0789_turn1,multiwoz,en,MUL0789,1,80,5.19,medium,non-streaming,0.0000,0.0000,549.62,
multiwoz_MUL0789_turn1,multiwoz,en,MUL0789,1,80,5.19,medium,streaming,0.0000,0.0000,611.51,
crosswoz_11334_turn1,crosswoz,zh,11334,1,26,5.22,medium,non-streaming,0.0000,0.0000,694.02,
crosswoz_11334_turn1,crosswoz,zh,11334,1,26,5.22,medium,streaming,0.0000,0.0000,728.63,
multiwoz_PMUL2034_turn1,multiwoz,en,PMUL2034,1,93,5.22,medium,non-streaming,0.0000,0.0000,578.80,
multiwoz_PMUL2034_turn1,multiwoz,en,PMUL2034,1,93,5.22,medium,streaming,0.0000,0.0000,629.06,
multiwoz_MUL2016_turn1,multiwoz,en,MUL2016,1,75,5.24,medium,non-streaming,0.0000,0.0000,507.29,
multiwoz_MUL2016_turn1,multiwoz,en,MUL2016,1,75,5.24,medium,streaming,0.0000,0.0000,606.25,
crosswoz_9394_turn1,crosswoz,zh,9394,1,26,5.34,medium,non-streaming,0.0000,0.0000,693.81,
crosswoz_9394_turn1,crosswoz,zh,9394,1,26,5.34,medium,streaming,0.0000,0.0000,767.08,
crosswoz_11735_turn1,crosswoz,zh,11735,1,27,5.43,medium,non-streaming,0.0000,0.0000,642.31,
crosswoz_11735_turn1,crosswoz,zh,11735,1,27,5.43,medium,streaming,0.0000,0.0000,683.20,
multiwoz_PMUL0085_turn1,multiwoz,en,PMUL0085,1,88,5.78,medium,non-streaming,0.0000,0.0000,582.60,
multiwoz_PMUL0085_turn1,multiwoz,en,PMUL0085,1,88,5.78,medium,streaming,0.1053,0.0110,637.46,
multiwoz_MUL2157_turn1,multiwoz,en,MUL2157,1,99,5.86,medium,non-streaming,0.0000,0.0000,569.93,
multiwoz_MUL2157_turn1,multiwoz,en,MUL2157,1,99,5.86,medium,streaming,0.1053,0.0105,611.51,
crosswoz_2228_turn1,crosswoz,zh,2228,1,30,5.89,medium,non-streaming,0.0000,0.0000,704.87,
crosswoz_2228_turn1,crosswoz,zh,2228,1,30,5.89,medium,streaming,0.0000,0.0000,753.97,
multiwoz_MUL0176_turn1,multiwoz,en,MUL0176,1,94,5.99,medium,non-streaming,0.0000,0.0000,589.76,
multiwoz_MUL0176_turn1,multiwoz,en,MUL0176,1,94,5.99,medium,streaming,0.0000,0.0000,640.21,
crosswoz_10661_turn1,crosswoz,zh,10661,1,32,6.06,medium,non-streaming,0.0000,0.0000,704.09,
crosswoz_10661_turn1,crosswoz,zh,10661,1,32,6.06,medium,streaming,0.0000,0.0000,751.68,
