mode,bin_x_duration_s,ttft_mean_ms,ttft_p5_ms,ttft_p95_ms,n
non-streaming,6.04,727.0,466.6,1041.0,94
non-streaming,16.68,1373.0,999.4,1874.7,94
non-streaming,28.78,2180.8,1538.8,2889.9,95
non-streaming,42.49,3024.3,2363.8,3800.5,94
non-streaming,56.02,3786.7,2834.0,4802.6,95
non-streaming,68.26,4602.4,3486.2,5783.6,94
non-streaming,81.65,5526.9,4266.8,6997.0,94
non-streaming,94.13,5760.1,4593.2,8037.7,95
non-streaming,106.06,6485.7,5090.9,8005.4,94
non-streaming,119.83,7070.3,5801.4,8924.1,95
non-streaming,131.94,8550.1,6368.1,11309.4,94
non-streaming,147.06,9815.6,8019.2,12471.7,95
streaming,6.04,837.1,574.2,1119.7,94
streaming,16.68,1098.6,706.2,1733.0,94
streaming,28.78,1086.7,707.7,1660.7,95
streaming,42.49,1126.8,676.5,1809.6,94
streaming,55.95,1090.9,685.5,1806.7,94
streaming,68.19,1120.4,684.5,1953.2,95
streaming,81.65,1066.8,745.5,1643.2,94
streaming,94.07,1003.2,685.0,1493.8,94
streaming,106.00,1075.3,691.8,1699.6,95
streaming,119.76,1178.0,752.6,1809.1,94
streaming,131.80,1059.4,712.7,1651.0,94
streaming,146.97,1099.1,700.2,1731.1,95
