sample_id,mode,ttft_r1,ttft_r2,ttft_r3,ttft_mean,ttft_std_ddof1,cv_pct
crosswoz_10040_turn4,non-streaming,5685.651,6190.053,5697.491,5857.732,287.859,4.9142
crosswoz_10040_turn4,streaming,1817.021,2305.179,1798.125,1973.442,287.449,14.5659
crosswoz_10331_turn4,non-streaming,5924.681,6586.172,5720.154,6077.002,452.657,7.4487
crosswoz_10331_turn4,streaming,1526.415,1594.792,1417.238,1512.815,89.555,5.9198
crosswoz_10382_turn4,non-streaming,4132.354,4745.700,4288.073,4388.709,318.817,7.2645
crosswoz_10382_turn4,streaming,1159.737,1136.017,1012.673,1102.809,78.956,7.1595
crosswoz_10574_turn4,non-streaming,3721.321,4524.419,3730.363,3992.034,461.081,11.5500
crosswoz_10574_turn4,streaming,1712.641,1702.626,1630.890,1682.053,44.590,2.6509
crosswoz_11406_turn5,non-streaming,6012.383,6713.000,6667.428,6464.270,392.009,6.0642
crosswoz_11406_turn5,streaming,1244.999,1329.698,1227.758,1267.485,54.563,4.3048
crosswoz_11592_turn2,non-streaming,3382.484,3915.657,3409.896,3569.346,300.227,8.4113
crosswoz_11592_turn2,streaming,1379.044,1451.359,1477.313,1435.905,50.924,3.5465
crosswoz_11592_turn3,non-streaming,3713.670,3935.346,3806.761,3818.592,111.311,2.9150
crosswoz_11592_turn3,streaming,1174.062,1278.295,1198.996,1217.118,54.428,4.4719
crosswoz_11613_turn5,non-streaming,4209.889,4284.929,4191.701,4228.840,49.419,1.1686
crosswoz_11613_turn5,streaming,1446.030,1451.422,1544.397,1480.616,55.302,3.7350
crosswoz_11730_turn3,non-streaming,4068.548,4300.089,4330.899,4233.179,143.404,3.3876
crosswoz_11730_turn3,streaming,1603.290,1799.760,1563.636,1655.562,126.443,7.6375
crosswoz_12011_turn4,non-streaming,4863.518,4931.467,4936.597,4910.527,40.792,0.8307
crosswoz_12011_turn4,streaming,1150.111,1226.666,1180.922,1185.900,38.520,3.2481
crosswoz_12299_turn4,non-streaming,5739.974,5127.109,4895.123,5254.069,436.500,8.3078
crosswoz_12299_turn4,streaming,1368.335,1494.009,1525.937,1462.760,83.319,5.6960
crosswoz_12315_turn3,non-streaming,3354.439,3712.623,3425.351,3497.471,189.670,5.4231
crosswoz_12315_turn3,streaming,1757.368,1801.448,1769.513,1776.110,22.768,1.2819
crosswoz_7196_turn3,non-streaming,3791.105,4072.088,3564.297,3809.163,254.376,6.6780
crosswoz_7196_turn3,streaming,1428.727,1483.069,1365.768,1425.855,58.703,4.1171
crosswoz_7652_turn3,non-streaming,4711.048,4660.217,5079.520,4816.929,228.827,4.7505
crosswoz_7652_turn3,streaming,1529.736,1498.926,1537.566,1522.076,20.428,1.3421
crosswoz_7701_turn3,non-streaming,3136.519,3228.024,3350.653,3238.399,107.444,3.3178
crosswoz_7701_turn3,streaming,1299.181,1403.403,1840.256,1514.280,287.073,18.9577
crosswoz_7701_turn4,non-streaming,5789.363,5368.824,5430.043,5529.410,227.197,4.1089
crosswoz_7701_turn4,streaming,1507.366,1217.728,1344.697,1356.597,145.185,10.7022
crosswoz_8202_turn4,non-streaming,4738.515,4659.914,5119.407,4839.279,245.761,5.0785
crosswoz_8202_turn4,streaming,1156.698,1135.942,1203.360,1165.333,34.528,2.9629
crosswoz_8672_turn3,non-streaming,3450.894,3535.228,3938.492,3641.538,260.604,7.1564
crosswoz_8672_turn3,streaming,1348.834,1312.481,1363.690,1341.668,26.346,1.9637
crosswoz_8717_turn3,non-streaming,4447.716,4266.485,4515.997,4410.066,128.947,2.9239
crosswoz_8717_turn3,streaming,1562.258,1950.837,1634.836,1715.977,206.606,12.0402
crosswoz_8907_turn3,non-streaming,3716.382,4436.939,3516.677,3889.999,484.074,12.4441
crosswoz_8907_turn3,streaming,1499.542,1475.322,1465.055,1479.973,17.708,1.1965
crosswoz_8907_turn4,non-streaming,4101.300,4243.627,4084.742,4143.223,87.346,2.1082
crosswoz_8907_turn4,streaming,1536.643,1495.984,1459.518,1497.382,38.582,2.5766
crosswoz_9394_turn4,non-streaming,4644.702,4571.401,5352.009,4856.037,431.085,8.8773
crosswoz_9394_turn4,streaming,1172.145,1183.093,1134.701,1163.313,25.376,2.1814
crosswoz_9577_turn3,non-streaming,4633.404,3923.623,3834.531,4130.519,437.783,10.5988
crosswoz_9577_turn3,streaming,1481.781,1340.034,1436.480,1419.432,72.395,5.1003
crosswoz_9577_turn4,non-streaming,6109.807,6183.208,6208.185,6167.067,51.136,0.8292
crosswoz_9577_turn4,streaming,1291.054,1373.353,1405.239,1356.549,58.918,4.3432
crosswoz_98_turn3,non-streaming,5018.328,5295.672,5430.410,5248.137,210.113,4.0036
crosswoz_98_turn3,streaming,1318.587,1513.729,1274.422,1368.913,127.344,9.3025
multiwoz_MUL0023_turn4,non-streaming,3274.617,3474.188,3401.054,3383.286,100.965,2.9842
multiwoz_MUL0023_turn4,streaming,1125.790,1113.904,1163.015,1134.236,25.622,2.2590
