sample_id,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
multiwoz_PMUL0271_turn3,30.09,very_long,streaming,1459.10,1362.56,96.55,
multiwoz_PMUL0271_turn3,30.09,very_long,non-streaming,3009.82,2921.88,87.94,
multiwoz_PMUL2590_turn4,30.28,very_long,streaming,2388.52,2237.81,150.71,
multiwoz_PMUL2590_turn4,30.28,very_long,non-streaming,2736.75,2664.26,72.49,
crosswoz_7701_turn3,30.56,very_long,streaming,1403.40,1312.25,91.15,
crosswoz_7701_turn3,30.56,very_long,non-streaming,3228.02,3181.50,46.53,
multiwoz_MUL2016_turn3,31.00,very_long,streaming,1670.88,1569.64,101.24,
multiwoz_MUL2016_turn3,31.00,very_long,non-streaming,3202.70,3152.22,50.48,
crosswoz_8672_turn3,31.66,very_long,streaming,1312.48,1177.22,135.26,
crosswoz_8672_turn3,31.66,very_long,non-streaming,3535.23,3477.08,58.15,
multiwoz_MUL1031_turn3,32.00,very_long,streaming,1603.87,1506.08,97.80,
multiwoz_MUL1031_turn3,32.00,very_long,non-streaming,2976.81,2910.78,66.03,
crosswoz_12315_turn3,32.11,very_long,streaming,1801.45,1681.25,120.20,
crosswoz_12315_turn3,32.11,very_long,non-streaming,3712.62,3645.96,66.67,
multiwoz_PMUL2936_turn4,33.53,very_long,streaming,1596.90,1493.98,102.92,
multiwoz_PMUL2936_turn4,33.53,very_long,non-streaming,2916.81,2864.98,51.84,
crosswoz_8907_turn3,35.33,very_long,streaming,1475.32,1389.10,86.22,
crosswoz_8907_turn3,35.33,very_long,non-streaming,4436.94,4390.10,46.84,
crosswoz_11592_turn2,35.79,very_long,streaming,1451.36,1326.59,124.77,
crosswoz_11592_turn2,35.79,very_long,non-streaming,3915.66,3869.06,46.59,
crosswoz_9577_turn3,36.69,very_long,streaming,1340.03,1255.28,84.76,
crosswoz_9577_turn3,36.69,very_long,non-streaming,3923.62,3861.52,62.10,
crosswoz_10574_turn4,37.76,very_long,streaming,1702.63,1600.42,102.21,
crosswoz_10574_turn4,37.76,very_long,non-streaming,4524.42,4452.02,72.40,
crosswoz_11730_turn3,37.84,very_long,streaming,1799.76,1707.08,92.68,
crosswoz_11730_turn3,37.84,very_long,non-streaming,4300.09,4224.31,75.78,
crosswoz_7196_turn3,38.28,very_long,streaming,1483.07,1392.73,90.34,
crosswoz_7196_turn3,38.28,very_long,non-streaming,4072.09,4003.11,68.97,
multiwoz_PMUL4031_turn4,38.48,very_long,streaming,1907.83,1760.73,147.11,
multiwoz_PMUL4031_turn4,38.48,very_long,non-streaming,3404.82,3338.89,65.93,
multiwoz_PMUL4612_turn4,39.14,very_long,streaming,1269.10,1181.01,88.10,
multiwoz_PMUL4612_turn4,39.14,very_long,non-streaming,3945.97,3876.42,69.55,
multiwoz_MUL0183_turn4,39.88,very_long,streaming,1293.89,1190.55,103.34,
multiwoz_MUL0183_turn4,39.88,very_long,non-streaming,3690.93,3621.03,69.89,
crosswoz_11592_turn3,40.77,very_long,streaming,1278.30,1166.67,111.63,
crosswoz_11592_turn3,40.77,very_long,non-streaming,3935.35,3861.63,73.71,
multiwoz_MUL0666_turn4,41.25,very_long,streaming,1584.94,1481.98,102.96,
multiwoz_MUL0666_turn4,41.25,very_long,non-streaming,4599.36,4528.96,70.40,
crosswoz_8717_turn3,41.78,very_long,streaming,1950.84,1808.00,142.84,
crosswoz_8717_turn3,41.78,very_long,non-streaming,4266.48,4197.43,69.05,
multiwoz_PMUL2590_turn5,43.50,very_long,streaming,1213.99,1103.39,110.60,
multiwoz_PMUL2590_turn5,43.50,very_long,non-streaming,3274.73,3204.70,70.04,
multiwoz_PMUL2296_turn4,43.66,very_long,streaming,2259.70,2119.04,140.66,
multiwoz_PMUL2296_turn4,43.66,very_long,non-streaming,3497.26,3427.40,69.86,
multiwoz_MUL0023_turn4,43.92,very_long,streaming,1113.90,1025.93,87.97,
multiwoz_MUL0023_turn4,43.92,very_long,non-streaming,3474.19,3404.07,70.12,
