group,mode,n,mean_ms,std_ms,p50_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms
Short,non-streaming,35,533.42,65.44,536.35,611.29,631.82,674.06,356.89,691.02
Short,streaming,35,648.17,70.76,641.08,727.42,744.76,797.17,502.71,818.86
Medium,non-streaming,89,923.42,170.86,946.96,1121.80,1196.04,1281.49,580.71,1357.82
Medium,streaming,89,959.53,184.10,965.19,1186.00,1261.82,1397.39,607.84,1443.70
Long,non-streaming,121,1722.04,342.63,1717.06,2218.00,2310.40,2474.07,1012.11,2628.51
Long,streaming,121,1126.63,323.72,1039.94,1617.67,1883.55,1978.67,667.03,1996.73
Very Long,non-streaming,208,3191.97,697.81,3068.19,4199.39,4467.14,4826.85,1900.23,5750.75
Very Long,streaming,208,1099.16,343.51,1016.63,1584.20,1768.83,2173.97,533.19,2667.22
Extra Long,non-streaming,679,6745.57,2108.79,6383.46,9342.44,11313.22,12274.38,3152.41,13867.82
Extra Long,streaming,679,1087.70,383.16,991.13,1544.56,1717.10,2605.45,577.27,4598.88
