config,mode,metric,subset,n,mean,std,p50,p90,p95,p99,min,max
prefix1_suffix1,streaming,asr_time_ms,all,150,1123.07,382.10,1027.48,1609.08,1782.55,2433.04,601.26,2614.31
prefix1_suffix1,streaming,wer,multiwoz,74,0.0895,0.0614,0.0842,0.1635,0.1960,0.2482,0.0000,0.3048
prefix1_suffix1,streaming,cer,multiwoz,74,0.0196,0.0208,0.0105,0.0526,0.0611,0.0799,0.0000,0.0897
prefix1_suffix1,streaming,wer,crosswoz,76,0.0083,0.0160,0.0000,0.0354,0.0431,0.0659,0.0000,0.0714
prefix1_suffix1,streaming,cer,crosswoz,76,0.0203,0.0276,0.0000,0.0603,0.0747,0.1054,0.0000,0.1120
prefix1_suffix1,non-streaming,asr_time_ms,all,150,1531.88,777.68,1355.99,2716.96,2862.87,3181.88,507.29,3216.25
prefix1_suffix1,non-streaming,wer,multiwoz,74,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
prefix1_suffix1,non-streaming,cer,multiwoz,74,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
prefix1_suffix1,non-streaming,wer,crosswoz,76,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
prefix1_suffix1,non-streaming,cer,crosswoz,76,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
prefix1_suffix0_default,streaming,asr_time_ms,all,150,932.96,295.23,878.76,1309.57,1509.59,1898.51,538.18,2374.63
prefix1_suffix0_default,streaming,wer,multiwoz,74,0.0813,0.0611,0.0752,0.1603,0.1882,0.2465,0.0000,0.3048
prefix1_suffix0_default,streaming,cer,multiwoz,74,0.0221,0.0218,0.0135,0.0554,0.0603,0.0842,0.0000,0.0916
prefix1_suffix0_default,streaming,wer,crosswoz,76,0.0118,0.0188,0.0000,0.0375,0.0482,0.0723,0.0000,0.0794
prefix1_suffix0_default,streaming,cer,crosswoz,76,0.0292,0.0339,0.0194,0.0736,0.0927,0.1193,0.0000,0.1200
prefix1_suffix0_default,non-streaming,asr_time_ms,all,150,1516.95,777.40,1349.86,2727.23,2906.79,3097.66,515.86,3161.86
prefix1_suffix0_default,non-streaming,wer,multiwoz,74,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
prefix1_suffix0_default,non-streaming,cer,multiwoz,74,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
prefix1_suffix0_default,non-streaming,wer,crosswoz,76,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
prefix1_suffix0_default,non-streaming,cer,crosswoz,76,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
prefix0_suffix0,streaming,asr_time_ms,all,150,668.61,216.85,599.74,943.18,1072.72,1470.35,381.00,1839.90
prefix0_suffix0,streaming,wer,multiwoz,74,0.0619,0.0678,0.0503,0.1514,0.1756,0.3086,0.0000,0.3238
prefix0_suffix0,streaming,cer,multiwoz,74,0.0226,0.0265,0.0127,0.0560,0.0657,0.1072,0.0000,0.1325
prefix0_suffix0,streaming,wer,crosswoz,76,0.0210,0.0237,0.0127,0.0560,0.0633,0.0870,0.0000,0.0873
prefix0_suffix0,streaming,cer,crosswoz,76,0.0500,0.0374,0.0476,0.0984,0.1146,0.1316,0.0000,0.1349
prefix0_suffix0,non-streaming,asr_time_ms,all,150,1503.71,747.36,1359.68,2642.22,2829.03,3112.82,503.68,3167.41
prefix0_suffix0,non-streaming,wer,multiwoz,74,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
prefix0_suffix0,non-streaming,cer,multiwoz,74,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
prefix0_suffix0,non-streaming,wer,crosswoz,76,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
prefix0_suffix0,non-streaming,cer,crosswoz,76,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
