sample_id,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
aishell1_S0004_01,15.20,long,streaming,1346.73,1239.98,106.75,
aishell1_S0004_01,15.20,long,non-streaming,1704.77,1657.97,46.80,
aishell1_S0023_01,15.40,long,streaming,1598.46,1482.47,116.00,
aishell1_S0023_01,15.40,long,non-streaming,1393.26,1352.53,40.73,
aishell1_S0013_01,15.70,long,streaming,1826.49,-1787133132649.43,1787133134475.92,
aishell1_S0013_01,15.70,long,non-streaming,1486.41,1432.92,53.49,
aishell1_S0020_01,16.23,long,streaming,1613.93,1489.62,124.31,
aishell1_S0020_01,16.23,long,non-streaming,1470.06,1405.31,64.75,
aishell1_S0028_01,16.47,long,streaming,1582.97,1468.54,114.43,
aishell1_S0028_01,16.47,long,non-streaming,1434.83,1392.61,42.23,
aishell1_S0011_01,17.20,long,streaming,1261.80,1178.14,83.66,
aishell1_S0011_01,17.20,long,non-streaming,1743.61,1698.49,45.12,
aishell1_S0018_01,17.33,long,streaming,1964.34,1856.11,108.23,
aishell1_S0018_01,17.33,long,non-streaming,1656.25,1600.77,55.48,
aishell1_S0006_01,17.74,long,streaming,1462.05,1361.37,100.68,
aishell1_S0006_01,17.74,long,non-streaming,1443.14,1396.04,47.10,
aishell1_S0019_01,18.16,long,streaming,1672.82,1570.96,101.86,
aishell1_S0019_01,18.16,long,non-streaming,1692.33,1638.85,53.48,
aishell1_S0017_01,18.77,long,streaming,1450.81,1350.05,100.75,
aishell1_S0017_01,18.77,long,non-streaming,1596.39,1543.26,53.13,
aishell1_S0029_01,18.88,long,streaming,1831.90,-1787133340402.71,1787133342234.61,
aishell1_S0029_01,18.88,long,non-streaming,1759.66,1711.86,47.81,
aishell1_S0015_01,19.13,long,streaming,1737.79,1633.15,104.65,
aishell1_S0015_01,19.13,long,non-streaming,1762.01,1696.74,65.27,
aishell1_S0010_01,19.14,long,streaming,1769.53,-1787133395921.37,1787133397690.89,
aishell1_S0010_01,19.14,long,non-streaming,1597.89,1546.71,51.18,
aishell1_S0022_01,19.51,long,streaming,1698.05,1613.71,84.34,
aishell1_S0022_01,19.51,long,non-streaming,1672.93,1624.81,48.13,
aishell1_S0012_01,19.60,long,streaming,1934.75,-1787133451150.99,1787133453085.74,
aishell1_S0012_01,19.60,long,non-streaming,1820.05,1770.67,49.37,
aishell1_S0060_01,30.83,very_long,streaming,2453.51,1324.49,1129.01,
aishell1_S0060_01,30.83,very_long,non-streaming,2619.31,2571.75,47.57,
aishell1_S0035_01,31.00,very_long,streaming,1235.11,1132.98,102.13,
aishell1_S0035_01,31.00,very_long,non-streaming,2822.76,2776.26,46.50,
aishell1_S0045_01,31.06,very_long,streaming,4697.06,4563.25,133.81,
aishell1_S0045_01,31.06,very_long,non-streaming,2576.38,2524.01,52.37,
aishell1_S0033_01,31.16,very_long,streaming,1769.37,836.07,933.29,
aishell1_S0033_01,31.16,very_long,non-streaming,2757.57,2710.46,47.11,
aishell1_S0049_01,31.60,very_long,streaming,2566.65,1636.86,929.78,
aishell1_S0049_01,31.60,very_long,non-streaming,2911.09,2864.48,46.61,
aishell1_S0054_01,31.65,very_long,streaming,1322.25,1220.37,101.87,
aishell1_S0054_01,31.65,very_long,non-streaming,3021.23,2974.98,46.25,
aishell1_S0052_01,31.90,very_long,streaming,2139.55,1063.89,1075.66,
aishell1_S0052_01,31.90,very_long,non-streaming,2629.18,2582.00,47.18,
aishell1_S0046_01,31.99,very_long,streaming,4200.85,2649.79,1551.06,
aishell1_S0046_01,31.99,very_long,non-streaming,2604.22,2557.07,47.15,
aishell1_S0038_01,32.05,very_long,streaming,6312.52,-1787133827634.39,1787133833946.91,
aishell1_S0038_01,32.05,very_long,non-streaming,2651.50,2606.76,44.73,
aishell1_S0061_01,32.41,very_long,streaming,1592.92,748.98,843.94,
aishell1_S0061_01,32.41,very_long,non-streaming,2792.68,2742.08,50.60,
aishell1_S0058_01,32.87,very_long,streaming,1230.78,1120.15,110.62,
aishell1_S0058_01,32.87,very_long,non-streaming,2949.63,2889.90,59.73,
aishell1_S0055_01,33.48,very_long,streaming,3184.04,3042.64,141.40,
aishell1_S0055_01,33.48,very_long,non-streaming,3169.37,3111.57,57.80,
aishell1_S0048_01,34.20,very_long,streaming,1442.26,1335.45,106.81,
aishell1_S0048_01,34.20,very_long,non-streaming,2806.72,2762.25,44.47,
aishell1_S0034_01,34.82,very_long,streaming,1412.94,1329.69,83.25,
aishell1_S0034_01,34.82,very_long,non-streaming,2995.53,2940.75,54.78,
aishell1_S0050_01,36.13,very_long,streaming,2155.16,817.40,1337.76,
aishell1_S0050_01,36.13,very_long,non-streaming,3291.64,3247.27,44.37,
