sample_id,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
aishell1_S0005_01,15.00,long,streaming,1896.63,848.10,1048.53,
aishell1_S0005_01,15.00,long,non-streaming,1659.04,1615.70,43.34,
aishell1_S0004_01,15.20,long,streaming,1443.24,1338.88,104.36,
aishell1_S0004_01,15.20,long,non-streaming,1668.31,1602.94,65.38,
aishell1_S0009_01,15.28,long,streaming,1550.20,655.21,894.99,
aishell1_S0009_01,15.28,long,non-streaming,1612.31,1561.70,50.61,
aishell1_S0023_01,15.40,long,streaming,2228.15,1127.64,1100.51,
aishell1_S0023_01,15.40,long,non-streaming,1406.09,1361.10,44.99,
aishell1_S0013_01,15.70,long,streaming,992.07,67.14,924.93,
aishell1_S0013_01,15.70,long,non-streaming,1565.27,1522.60,42.67,
aishell1_S0025_01,15.89,long,streaming,1553.91,667.06,886.85,
aishell1_S0025_01,15.89,long,non-streaming,1474.04,1429.59,44.45,
aishell1_S0002_01,16.20,long,streaming,1853.67,782.35,1071.32,
aishell1_S0002_01,16.20,long,non-streaming,1456.54,1393.16,63.38,
aishell1_S0020_01,16.23,long,streaming,1773.60,822.16,951.44,
aishell1_S0020_01,16.23,long,non-streaming,1453.25,1408.84,44.41,
aishell1_S0016_01,16.41,long,streaming,1728.47,800.85,927.62,
aishell1_S0016_01,16.41,long,non-streaming,1594.87,1541.99,52.88,
aishell1_S0028_01,16.47,long,streaming,1634.57,660.15,974.41,
aishell1_S0028_01,16.47,long,non-streaming,1427.44,1372.47,54.97,
aishell1_S0027_01,16.59,long,streaming,991.39,190.28,801.11,
aishell1_S0027_01,16.59,long,non-streaming,1469.47,1394.92,74.55,
aishell1_S0014_01,17.05,long,streaming,1091.74,1000.70,91.04,
aishell1_S0014_01,17.05,long,non-streaming,1297.33,1251.59,45.74,
aishell1_S0011_01,17.20,long,streaming,1753.34,796.17,957.16,
aishell1_S0011_01,17.20,long,non-streaming,1729.82,1688.24,41.58,
aishell1_S0018_01,17.33,long,streaming,1238.02,1153.05,84.96,
aishell1_S0018_01,17.33,long,non-streaming,1633.23,1592.52,40.71,
aishell1_S0026_01,17.47,long,streaming,1607.99,696.17,911.82,
aishell1_S0026_01,17.47,long,non-streaming,1832.39,1769.87,62.53,
aishell1_S0008_01,17.69,long,streaming,1405.49,549.57,855.92,
aishell1_S0008_01,17.69,long,non-streaming,1511.15,1455.99,55.16,
aishell1_S0006_01,17.74,long,streaming,1555.76,685.66,870.11,
aishell1_S0006_01,17.74,long,non-streaming,1461.54,1417.85,43.69,
aishell1_S0021_01,17.77,long,streaming,1782.56,776.41,1006.15,
aishell1_S0021_01,17.77,long,non-streaming,1627.62,1561.63,66.00,
aishell1_S0019_01,18.16,long,streaming,2182.35,1064.77,1117.58,
aishell1_S0019_01,18.16,long,non-streaming,1728.09,1685.83,42.26,
aishell1_S0030_01,18.33,long,streaming,1472.51,529.66,942.85,
aishell1_S0030_01,18.33,long,non-streaming,1647.41,1593.77,53.64,
aishell1_S0017_01,18.77,long,streaming,1732.84,807.26,925.58,
aishell1_S0017_01,18.77,long,non-streaming,1631.53,1582.31,49.22,
aishell1_S0024_01,18.82,long,streaming,2058.82,1003.09,1055.73,
aishell1_S0024_01,18.82,long,non-streaming,1787.10,1731.82,55.28,
aishell1_S0029_01,18.88,long,streaming,1752.52,764.38,988.14,
aishell1_S0029_01,18.88,long,non-streaming,1755.81,1698.94,56.87,
aishell1_S0015_01,19.13,long,streaming,1992.60,926.89,1065.71,
aishell1_S0015_01,19.13,long,non-streaming,1658.37,1605.00,53.37,
aishell1_S0010_01,19.14,long,streaming,1847.67,764.25,1083.42,
aishell1_S0010_01,19.14,long,non-streaming,1690.29,1632.95,57.33,
aishell1_S0022_01,19.51,long,streaming,1443.17,396.00,1047.17,
aishell1_S0022_01,19.51,long,non-streaming,1756.97,1697.94,59.04,
aishell1_S0012_01,19.60,long,streaming,1354.09,544.47,809.62,
aishell1_S0012_01,19.60,long,non-streaming,1866.08,1786.45,79.63,
aishell1_S0031_01,20.39,long,streaming,2017.03,1008.67,1008.37,
aishell1_S0031_01,20.39,long,non-streaming,1717.80,1658.39,59.42,
aishell1_S0007_01,20.71,long,streaming,1591.16,769.38,821.79,
aishell1_S0007_01,20.71,long,non-streaming,1756.98,1711.64,45.35,
