sample_id,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
aishell1_S0004_01,15.20,long,streaming,1315.43,1217.86,97.57,
aishell1_S0004_01,15.20,long,non-streaming,1606.89,1562.67,44.23,
aishell1_S0009_01,15.28,long,streaming,1200.72,1096.51,104.21,
aishell1_S0009_01,15.28,long,non-streaming,1567.27,1525.68,41.58,
aishell1_S0023_01,15.40,long,streaming,2393.82,1181.74,1212.08,
aishell1_S0023_01,15.40,long,non-streaming,1390.78,1349.43,41.34,
aishell1_S0013_01,15.70,long,streaming,1067.75,116.25,951.50,
aishell1_S0013_01,15.70,long,non-streaming,1522.96,1451.25,71.70,
aishell1_S0002_01,16.20,long,streaming,1754.27,746.12,1008.16,
aishell1_S0002_01,16.20,long,non-streaming,1386.41,1332.44,53.97,
aishell1_S0020_01,16.23,long,streaming,1761.15,816.62,944.53,
aishell1_S0020_01,16.23,long,non-streaming,1404.89,1363.00,41.89,
aishell1_S0028_01,16.47,long,streaming,1467.01,599.90,867.12,
aishell1_S0028_01,16.47,long,non-streaming,1569.15,1515.59,53.55,
aishell1_S0027_01,16.59,long,streaming,1076.82,256.40,820.42,
aishell1_S0027_01,16.59,long,non-streaming,1506.85,1450.95,55.90,
aishell1_S0018_01,17.33,long,streaming,1247.80,1109.96,137.84,
aishell1_S0018_01,17.33,long,non-streaming,1713.98,1659.59,54.39,
aishell1_S0021_01,17.77,long,streaming,1419.72,569.39,850.32,
aishell1_S0021_01,17.77,long,non-streaming,1564.39,1499.39,65.00,
aishell1_S0010_01,19.14,long,streaming,1747.71,836.55,911.16,
aishell1_S0010_01,19.14,long,non-streaming,1616.02,1562.38,53.64,
aishell1_S0022_01,19.51,long,streaming,1284.63,262.35,1022.28,
aishell1_S0022_01,19.51,long,non-streaming,1878.34,1834.01,44.33,
aishell1_S0012_01,19.60,long,streaming,1335.93,554.72,781.22,
aishell1_S0012_01,19.60,long,non-streaming,1837.32,1782.50,54.81,
aishell1_S0031_01,20.39,long,streaming,2095.07,1057.40,1037.67,
aishell1_S0031_01,20.39,long,non-streaming,1801.14,1753.65,47.49,
aishell1_S0003_01,22.20,long,streaming,2267.16,1124.80,1142.35,
aishell1_S0003_01,22.20,long,non-streaming,1722.90,1667.51,55.38,
aishell1_S0041_01,30.18,very_long,streaming,1696.16,736.76,959.40,
aishell1_S0041_01,30.18,very_long,non-streaming,3011.22,2962.71,48.52,
aishell1_S0036_01,30.38,very_long,streaming,2076.50,1013.80,1062.70,
aishell1_S0036_01,30.38,very_long,non-streaming,2806.85,2725.65,81.20,
aishell1_S0059_01,30.62,very_long,streaming,1555.02,467.49,1087.53,
aishell1_S0059_01,30.62,very_long,non-streaming,3065.85,3022.54,43.30,
aishell1_S0035_01,31.00,very_long,streaming,1841.48,735.00,1106.48,
aishell1_S0035_01,31.00,very_long,non-streaming,2786.36,2738.93,47.42,
aishell1_S0045_01,31.06,very_long,streaming,1100.75,1011.17,89.59,
aishell1_S0045_01,31.06,very_long,non-streaming,2825.37,2775.25,50.12,
aishell1_S0054_01,31.65,very_long,streaming,1638.01,705.33,932.68,
aishell1_S0054_01,31.65,very_long,non-streaming,2820.97,2773.60,47.37,
aishell1_S0046_01,31.99,very_long,streaming,1587.78,674.38,913.40,
aishell1_S0046_01,31.99,very_long,non-streaming,2651.89,2603.90,47.99,
aishell1_S0058_01,32.87,very_long,streaming,1273.42,1190.38,83.04,
aishell1_S0058_01,32.87,very_long,non-streaming,2904.65,2859.02,45.63,
aishell1_S0055_01,33.48,very_long,streaming,1506.58,626.09,880.49,
aishell1_S0055_01,33.48,very_long,non-streaming,3107.14,3059.75,47.39,
aishell1_S0057_01,33.53,very_long,streaming,1229.88,244.25,985.63,
aishell1_S0057_01,33.53,very_long,non-streaming,3284.45,3239.99,44.46,
aishell1_S0048_01,34.20,very_long,streaming,1701.10,779.06,922.03,
aishell1_S0048_01,34.20,very_long,non-streaming,2833.00,2789.29,43.71,
aishell1_S0040_01,34.24,very_long,streaming,1890.83,900.33,990.51,
aishell1_S0040_01,34.24,very_long,non-streaming,3042.20,2997.39,44.81,
aishell1_S0034_01,34.82,very_long,streaming,2368.19,1131.70,1236.49,
aishell1_S0034_01,34.82,very_long,non-streaming,3323.49,3268.68,54.82,
aishell1_S0053_01,34.94,very_long,streaming,1800.64,858.34,942.30,
aishell1_S0053_01,34.94,very_long,non-streaming,3012.73,2964.90,47.83,
aishell1_S0050_01,36.13,very_long,streaming,2217.73,984.21,1233.52,
aishell1_S0050_01,36.13,very_long,non-streaming,3150.65,3098.27,52.38,
