sample_id,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
aishell1_S0023_01,17.12,long,streaming,1840.95,726.38,1114.57,
aishell1_S0023_01,17.12,long,non-streaming,1402.57,1358.12,44.45,
aishell1_S0013_01,17.45,long,streaming,1947.78,944.29,1003.49,
aishell1_S0013_01,17.45,long,non-streaming,1548.32,1507.35,40.96,
aishell1_S0025_01,17.65,long,streaming,1543.38,673.22,870.16,
aishell1_S0025_01,17.65,long,non-streaming,1680.13,1610.42,69.72,
aishell1_S0002_01,18.00,long,streaming,1335.60,336.88,998.72,
aishell1_S0002_01,18.00,long,non-streaming,1334.63,1289.57,45.06,
aishell1_S0028_01,18.30,long,streaming,1505.53,609.96,895.57,
aishell1_S0028_01,18.30,long,non-streaming,1393.83,1351.91,41.92,
aishell1_S0014_01,18.94,long,streaming,1064.88,981.80,83.08,
aishell1_S0014_01,18.94,long,non-streaming,1320.45,1279.77,40.67,
aishell1_S0018_01,19.25,long,streaming,1552.39,639.91,912.47,
aishell1_S0018_01,19.25,long,non-streaming,1695.77,1654.68,41.09,
aishell1_S0021_01,19.74,long,streaming,1464.71,591.87,872.84,
aishell1_S0021_01,19.74,long,non-streaming,1507.56,1446.21,61.35,
aishell1_S0019_01,20.18,long,streaming,2255.69,1044.69,1210.99,
aishell1_S0019_01,20.18,long,non-streaming,1704.38,1663.08,41.30,
aishell1_S0030_01,20.36,long,streaming,1442.28,542.08,900.21,
aishell1_S0030_01,20.36,long,non-streaming,1643.00,1602.72,40.28,
aishell1_S0017_01,20.86,long,streaming,1745.65,825.46,920.20,
aishell1_S0017_01,20.86,long,non-streaming,1597.20,1543.32,53.88,
aishell1_S0024_01,20.91,long,streaming,2007.66,988.11,1019.55,
aishell1_S0024_01,20.91,long,non-streaming,1725.96,1671.80,54.16,
aishell1_S0015_01,21.25,long,streaming,1998.32,959.38,1038.94,
aishell1_S0015_01,21.25,long,non-streaming,1607.10,1559.39,47.70,
aishell1_S0010_01,21.27,long,streaming,1626.82,712.61,914.21,
aishell1_S0010_01,21.27,long,non-streaming,1645.41,1596.20,49.21,
aishell1_S0012_01,21.78,long,streaming,1393.10,578.96,814.14,
aishell1_S0012_01,21.78,long,non-streaming,1793.09,1745.80,47.29,
aishell1_S0041_01,33.53,very_long,streaming,1278.12,302.67,975.45,
aishell1_S0041_01,33.53,very_long,non-streaming,2832.72,2785.31,47.42,
aishell1_S0043_01,33.58,very_long,streaming,1094.55,234.39,860.16,
aishell1_S0043_01,33.58,very_long,non-streaming,3145.69,3092.62,53.07,
aishell1_S0059_01,34.03,very_long,streaming,1571.22,424.77,1146.45,
aishell1_S0059_01,34.03,very_long,non-streaming,2832.42,2787.84,44.58,
aishell1_S0060_01,34.26,very_long,streaming,1283.21,283.40,999.81,
aishell1_S0060_01,34.26,very_long,non-streaming,2685.66,2638.54,47.12,
aishell1_S0035_01,34.44,very_long,streaming,1916.98,921.36,995.62,
aishell1_S0035_01,34.44,very_long,non-streaming,2795.47,2748.55,46.92,
aishell1_S0045_01,34.51,very_long,streaming,889.25,41.37,847.88,
aishell1_S0045_01,34.51,very_long,non-streaming,2638.91,2591.36,47.55,
aishell1_S0047_01,34.65,very_long,streaming,1349.27,377.70,971.57,
aishell1_S0047_01,34.65,very_long,non-streaming,2791.12,2744.49,46.63,
aishell1_S0038_01,35.61,very_long,streaming,1144.55,256.10,888.46,
aishell1_S0038_01,35.61,very_long,non-streaming,2570.45,2523.49,46.96,
aishell1_S0061_01,36.01,very_long,streaming,1031.31,143.71,887.59,
aishell1_S0061_01,36.01,very_long,non-streaming,2593.99,2546.83,47.16,
aishell1_S0055_01,37.20,very_long,streaming,1572.48,690.81,881.67,
aishell1_S0055_01,37.20,very_long,non-streaming,2899.57,2854.95,44.62,
aishell1_S0044_01,37.56,very_long,streaming,1344.03,347.30,996.73,
aishell1_S0044_01,37.56,very_long,non-streaming,3369.42,3325.14,44.28,
aishell1_S0032_01,37.94,very_long,streaming,1926.47,997.72,928.76,
aishell1_S0032_01,37.94,very_long,non-streaming,3094.45,3050.25,44.21,
aishell1_S0040_01,38.05,very_long,streaming,1512.52,552.33,960.18,
aishell1_S0040_01,38.05,very_long,non-streaming,3134.09,3091.27,42.82,
aishell1_S0034_01,38.69,very_long,streaming,1565.03,439.38,1125.65,
aishell1_S0034_01,38.69,very_long,non-streaming,2983.10,2939.21,43.89,
aishell1_S0042_01,39.28,very_long,streaming,1968.40,1002.67,965.72,
aishell1_S0042_01,39.28,very_long,non-streaming,3128.02,3082.79,45.23,
