sample_id,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
librispeech_1580-141084,15.14,long,streaming,1544.45,1435.51,108.94,
librispeech_1580-141084,15.14,long,non-streaming,1373.69,1330.68,43.01,
librispeech_1284-1181,15.62,long,streaming,1596.58,-1787126475056.85,1787126476653.43,
librispeech_1284-1181,15.62,long,non-streaming,1372.68,1330.76,41.92,
librispeech_1995-1836,15.63,long,streaming,1599.94,-1787126498363.55,1787126499963.49,
librispeech_1995-1836,15.63,long,non-streaming,1392.31,1347.89,44.42,
librispeech_1284-1180,16.41,long,streaming,1997.09,-1787126521037.84,1787126523034.93,
librispeech_1284-1180,16.41,long,non-streaming,1591.78,1547.09,44.69,
librispeech_1995-1837,16.44,long,streaming,1869.54,1719.32,150.23,
librispeech_1995-1837,16.44,long,non-streaming,1549.56,1504.57,44.99,
librispeech_121-123852,17.70,long,streaming,1202.65,1094.75,107.90,
librispeech_121-123852,17.70,long,non-streaming,1132.45,1089.02,43.43,
librispeech_1284-134647,19.18,long,streaming,1684.42,1555.60,128.82,
librispeech_1284-134647,19.18,long,non-streaming,1441.50,1397.83,43.67,
librispeech_1995-1826,20.03,long,streaming,1813.56,1698.37,115.19,
librispeech_1995-1826,20.03,long,non-streaming,1573.02,1528.65,44.36,
librispeech_260-123440,20.03,long,streaming,1925.13,-1787126655858.56,1787126657783.69,
librispeech_260-123440,20.03,long,non-streaming,1786.00,1734.50,51.50,
librispeech_1188-133604,20.55,long,streaming,1012.76,157.39,855.36,
librispeech_1188-133604,20.55,long,non-streaming,1428.87,1384.82,44.04,
librispeech_2300-131720,20.55,long,streaming,1736.05,1604.14,131.92,
librispeech_2300-131720,20.55,long,non-streaming,1834.75,1779.00,55.75,
librispeech_1320-122617,22.11,long,streaming,1975.81,-1787126745955.81,1787126747931.61,
librispeech_1320-122617,22.11,long,non-streaming,1650.14,1604.12,46.02,
librispeech_2830-3979,23.22,long,streaming,3153.64,-1787126776526.14,1787126779679.77,
librispeech_2830-3979,23.22,long,non-streaming,1825.33,1774.43,50.90,
librispeech_1221-135767,24.85,long,streaming,2712.70,-1787126811064.13,1787126813776.83,
librispeech_1221-135767,24.85,long,non-streaming,1905.56,1859.71,45.86,
librispeech_237-126133,26.01,long,streaming,2810.71,-1787126846578.02,1787126849388.74,
librispeech_237-126133,26.01,long,non-streaming,1828.49,1766.04,62.45,
librispeech_6829-68769,30.09,very_long,streaming,1252.34,1140.96,111.38,
librispeech_6829-68769,30.09,very_long,non-streaming,2910.59,2844.90,65.69,
librispeech_61-70968,31.38,very_long,streaming,1171.05,1070.01,101.04,
librispeech_61-70968,31.38,very_long,non-streaming,3178.75,3129.11,49.64,
librispeech_5683-32865,31.63,very_long,streaming,5759.00,-1787126969206.99,1787126974965.99,
librispeech_5683-32865,31.63,very_long,non-streaming,2617.36,2564.09,53.27,
librispeech_5105-28233,33.39,very_long,streaming,7436.27,-1787127015003.88,1787127022440.15,
librispeech_5105-28233,33.39,very_long,non-streaming,2940.65,2874.11,66.54,
librispeech_5105-28240,33.64,very_long,streaming,3221.53,3071.28,150.24,
librispeech_5105-28240,33.64,very_long,non-streaming,3205.19,3139.36,65.83,
librispeech_3570-5695,33.79,very_long,streaming,4985.40,4840.51,144.89,
librispeech_3570-5695,33.79,very_long,non-streaming,3076.52,3007.57,68.95,
librispeech_5142-33396,33.92,very_long,streaming,4234.33,4093.38,140.95,
librispeech_5142-33396,33.92,very_long,non-streaming,3224.87,3155.64,69.23,
librispeech_672-122797,34.26,very_long,streaming,2892.91,2781.45,111.47,
librispeech_672-122797,34.26,very_long,non-streaming,2770.56,2723.84,46.73,
librispeech_4970-29095,34.38,very_long,streaming,7290.88,-1787127249264.61,1787127256555.49,
librispeech_4970-29095,34.38,very_long,non-streaming,2769.85,2722.04,47.81,
librispeech_3570-5696,36.36,very_long,streaming,4153.46,4009.67,143.79,
librispeech_3570-5696,36.36,very_long,non-streaming,3149.62,3080.15,69.47,
librispeech_5639-40744,38.13,very_long,streaming,2043.61,1935.11,108.50,
librispeech_5639-40744,38.13,very_long,non-streaming,3300.79,3231.56,69.23,
librispeech_4992-23283,38.41,very_long,streaming,3496.11,1660.81,1835.30,
librispeech_4992-23283,38.41,very_long,non-streaming,2968.82,2902.49,66.33,
librispeech_4992-41806,41.95,very_long,streaming,3467.30,3327.86,139.44,
librispeech_4992-41806,41.95,very_long,non-streaming,3261.95,3192.77,69.17,
librispeech_4077-13751,46.58,very_long,streaming,21026.01,-1787127512774.14,1787127533800.15,
librispeech_4077-13751,46.58,very_long,non-streaming,3037.28,2967.73,69.55,
librispeech_3570-5694,48.78,very_long,streaming,1686.79,1557.33,129.46,
librispeech_3570-5694,48.78,very_long,non-streaming,3675.11,3598.63,76.48,
