sample_id,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
librispeech_121-121726,15.13,long,streaming,994.19,906.04,88.15,
librispeech_121-121726,15.13,long,non-streaming,1169.34,1124.13,45.21,
librispeech_1580-141084,15.14,long,streaming,1362.94,1257.73,105.21,
librispeech_1580-141084,15.14,long,non-streaming,1261.13,1217.41,43.72,
librispeech_1284-1181,15.62,long,streaming,1647.43,1481.28,166.15,
librispeech_1284-1181,15.62,long,non-streaming,1452.97,1405.25,47.72,
librispeech_1995-1836,15.63,long,streaming,1687.14,1588.40,98.74,
librispeech_1995-1836,15.63,long,non-streaming,1348.06,1305.93,42.13,
librispeech_121-127105,15.81,long,streaming,1279.24,1173.29,105.95,
librispeech_121-127105,15.81,long,non-streaming,1300.95,1253.88,47.07,
librispeech_1284-1180,16.41,long,streaming,1723.07,1573.61,149.46,
librispeech_1284-1180,16.41,long,non-streaming,1653.51,1601.05,52.46,
librispeech_1995-1837,16.44,long,streaming,1512.92,1387.11,125.81,
librispeech_1995-1837,16.44,long,non-streaming,1543.00,1480.80,62.21,
librispeech_260-123288,16.90,long,streaming,1981.21,941.99,1039.22,
librispeech_260-123288,16.90,long,non-streaming,1370.62,1324.02,46.60,
librispeech_121-123859,17.39,long,streaming,1470.91,558.11,912.80,
librispeech_121-123859,17.39,long,non-streaming,1441.73,1347.38,94.35,
librispeech_121-123852,17.70,long,streaming,1430.82,500.44,930.38,
librispeech_121-123852,17.70,long,non-streaming,1223.32,1181.61,41.71,
librispeech_237-134500,17.89,long,streaming,1315.75,1233.64,82.11,
librispeech_237-134500,17.89,long,non-streaming,1715.81,1668.14,47.67,
librispeech_2830-3980,18.69,long,streaming,1537.96,635.40,902.56,
librispeech_2830-3980,18.69,long,non-streaming,1636.77,1592.58,44.19,
librispeech_1284-134647,19.18,long,streaming,2215.52,2088.22,127.30,
librispeech_1284-134647,19.18,long,non-streaming,2074.21,2026.59,47.62,
librispeech_1580-141083,19.55,long,streaming,2171.16,950.09,1221.07,
librispeech_1580-141083,19.55,long,non-streaming,1590.83,1541.93,48.90,
librispeech_1089-134691,19.90,long,streaming,1864.76,825.83,1038.93,
librispeech_1089-134691,19.90,long,non-streaming,1681.66,1635.60,46.07,
librispeech_1995-1826,20.03,long,streaming,1286.38,1201.28,85.10,
librispeech_1995-1826,20.03,long,non-streaming,1766.73,1709.05,57.68,
librispeech_260-123440,20.03,long,streaming,1171.83,1083.75,88.08,
librispeech_260-123440,20.03,long,non-streaming,1503.20,1450.10,53.10,
librispeech_1188-133604,20.55,long,streaming,942.77,110.15,832.62,
librispeech_1188-133604,20.55,long,non-streaming,1457.25,1399.41,57.84,
librispeech_2300-131720,20.55,long,streaming,1611.80,475.51,1136.29,
librispeech_2300-131720,20.55,long,non-streaming,1525.25,1467.40,57.85,
librispeech_260-123286,21.25,long,streaming,1296.61,1211.74,84.87,
librispeech_260-123286,21.25,long,non-streaming,1446.81,1401.00,45.81,
librispeech_1089-134686,21.27,long,streaming,1855.07,835.34,1019.73,
librispeech_1089-134686,21.27,long,non-streaming,1768.52,1720.00,48.53,
librispeech_1320-122617,22.11,long,streaming,2919.14,1598.04,1321.10,
librispeech_1320-122617,22.11,long,non-streaming,2038.39,1991.97,46.43,
librispeech_2094-142345,22.57,long,streaming,977.89,111.45,866.43,
librispeech_2094-142345,22.57,long,non-streaming,1518.76,1470.95,47.80,
librispeech_2830-3979,23.22,long,streaming,1700.81,759.80,941.02,
librispeech_2830-3979,23.22,long,non-streaming,1721.93,1675.33,46.60,
librispeech_1320-122612,23.60,long,streaming,2218.45,1087.03,1131.42,
librispeech_1320-122612,23.60,long,non-streaming,1746.47,1690.98,55.49,
librispeech_237-134493,23.68,long,streaming,831.16,-7.46,838.61,
librispeech_237-134493,23.68,long,non-streaming,1489.03,1430.68,58.35,
librispeech_1221-135767,24.85,long,streaming,2482.72,1540.27,942.45,
librispeech_1221-135767,24.85,long,non-streaming,1781.85,1737.63,44.21,
librispeech_237-126133,26.01,long,streaming,3658.67,2458.18,1200.49,
librispeech_237-126133,26.01,long,non-streaming,2584.36,2538.11,46.25,
librispeech_2961-960,27.18,long,streaming,1640.23,679.75,960.48,
librispeech_2961-960,27.18,long,non-streaming,2294.75,2236.08,58.67,
librispeech_1221-135766,29.42,long,streaming,4392.86,3036.00,1356.87,
librispeech_1221-135766,29.42,long,non-streaming,2535.35,2489.91,45.44,
librispeech_6829-68769,30.09,very_long,streaming,1155.56,1071.07,84.50,
librispeech_6829-68769,30.09,very_long,non-streaming,2819.66,2753.43,66.23,
librispeech_4446-2275,30.38,very_long,streaming,1250.79,1157.22,93.57,
librispeech_4446-2275,30.38,very_long,non-streaming,3068.06,3002.52,65.54,
librispeech_4446-2271,30.92,very_long,streaming,1341.10,1254.61,86.49,
librispeech_4446-2271,30.92,very_long,non-streaming,2727.58,2682.17,45.41,
librispeech_5683-32866,31.31,very_long,streaming,1241.60,1155.81,85.79,
librispeech_5683-32866,31.31,very_long,non-streaming,2777.10,2731.94,45.15,
librispeech_61-70968,31.38,very_long,streaming,1068.69,984.57,84.12,
librispeech_61-70968,31.38,very_long,non-streaming,2862.24,2816.48,45.76,
librispeech_4507-16021,31.49,very_long,streaming,1538.74,693.35,845.38,
librispeech_4507-16021,31.49,very_long,non-streaming,2126.07,2075.47,50.60,
librispeech_5683-32865,31.63,very_long,streaming,1165.04,1078.71,86.34,
librispeech_5683-32865,31.63,very_long,non-streaming,2244.95,2184.75,60.20,
librispeech_4446-2273,32.10,very_long,streaming,2025.75,963.70,1062.06,
librispeech_4446-2273,32.10,very_long,non-streaming,3094.80,3025.50,69.30,
librispeech_61-70970,32.68,very_long,streaming,1577.52,1467.20,110.31,
librispeech_61-70970,32.68,very_long,non-streaming,3408.44,3338.14,70.30,
librispeech_5105-28233,33.39,very_long,streaming,1559.48,1458.35,101.13,
librispeech_5105-28233,33.39,very_long,non-streaming,2933.06,2868.04,65.03,
librispeech_5105-28240,33.64,very_long,streaming,1122.73,1039.64,83.09,
librispeech_5105-28240,33.64,very_long,non-streaming,2746.36,2701.00,45.36,
librispeech_3570-5695,33.79,very_long,streaming,2207.01,1180.50,1026.52,
librispeech_3570-5695,33.79,very_long,non-streaming,3018.18,2949.39,68.80,
librispeech_3729-6852,33.81,very_long,streaming,1552.83,658.55,894.28,
librispeech_3729-6852,33.81,very_long,non-streaming,2846.57,2799.97,46.60,
librispeech_4077-13754,33.84,very_long,streaming,1673.48,1587.60,85.88,
librispeech_4077-13754,33.84,very_long,non-streaming,3186.67,3135.88,50.79,
librispeech_3575-170457,33.85,very_long,streaming,2136.52,1063.64,1072.88,
librispeech_3575-170457,33.85,very_long,non-streaming,2956.85,2890.55,66.31,
