sample_id,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
librispeech_1284-1181,15.62,long,streaming,1672.13,1527.22,144.90,
librispeech_1284-1181,15.62,long,non-streaming,1416.66,1371.93,44.73,
librispeech_1995-1837,16.44,long,streaming,1473.81,1335.60,138.21,
librispeech_1995-1837,16.44,long,non-streaming,1569.60,1523.46,46.14,
librispeech_260-123288,16.90,long,streaming,1989.41,931.76,1057.65,
librispeech_260-123288,16.90,long,non-streaming,1432.19,1372.76,59.43,
librispeech_1284-134647,19.18,long,streaming,1665.01,1531.34,133.67,
librispeech_1284-134647,19.18,long,non-streaming,1470.61,1418.53,52.08,
librispeech_1089-134691,19.90,long,streaming,1786.39,784.00,1002.38,
librispeech_1089-134691,19.90,long,non-streaming,1670.35,1609.53,60.82,
librispeech_1995-1826,20.03,long,streaming,1710.86,1584.44,126.42,
librispeech_1995-1826,20.03,long,non-streaming,1525.52,1478.83,46.69,
librispeech_260-123440,20.03,long,streaming,1236.78,1153.21,83.57,
librispeech_260-123440,20.03,long,non-streaming,1539.18,1490.05,49.13,
librispeech_1188-133604,20.55,long,streaming,977.61,159.41,818.19,
librispeech_1188-133604,20.55,long,non-streaming,1455.99,1412.18,43.81,
librispeech_2300-131720,20.55,long,streaming,2267.81,1073.09,1194.72,
librispeech_2300-131720,20.55,long,non-streaming,1658.40,1611.37,47.03,
librispeech_1089-134686,21.27,long,streaming,1347.09,1257.26,89.83,
librispeech_1089-134686,21.27,long,non-streaming,1705.18,1658.60,46.58,
librispeech_2094-142345,22.57,long,streaming,1339.93,345.53,994.40,
librispeech_2094-142345,22.57,long,non-streaming,1466.09,1418.93,47.16,
librispeech_1221-135767,24.85,long,streaming,3240.78,1960.98,1279.80,
librispeech_1221-135767,24.85,long,non-streaming,1752.27,1707.11,45.16,
librispeech_237-126133,26.01,long,streaming,2095.09,859.66,1235.43,
librispeech_237-126133,26.01,long,non-streaming,1789.02,1744.43,44.59,
librispeech_2961-960,27.18,long,streaming,1542.10,625.67,916.43,
librispeech_2961-960,27.18,long,non-streaming,2528.60,2484.50,44.10,
librispeech_1221-135766,29.42,long,streaming,3870.93,2544.54,1326.40,
librispeech_1221-135766,29.42,long,non-streaming,2922.07,2874.56,47.50,
librispeech_4446-2271,30.92,very_long,streaming,1339.68,1229.24,110.44,
librispeech_4446-2271,30.92,very_long,non-streaming,2862.98,2783.59,79.39,
librispeech_61-70968,31.38,very_long,streaming,1095.12,993.44,101.68,
librispeech_61-70968,31.38,very_long,non-streaming,2649.27,2603.15,46.12,
librispeech_5683-32865,31.63,very_long,streaming,1115.45,1025.23,90.22,
librispeech_5683-32865,31.63,very_long,non-streaming,2280.28,2234.65,45.62,
librispeech_4446-2273,32.10,very_long,streaming,1655.40,1497.33,158.06,
librispeech_4446-2273,32.10,very_long,non-streaming,3002.71,2933.25,69.45,
librispeech_61-70970,32.68,very_long,streaming,1734.82,1595.58,139.24,
librispeech_61-70970,32.68,very_long,non-streaming,2974.99,2905.62,69.37,
librispeech_5105-28240,33.64,very_long,streaming,1129.59,1021.43,108.15,
librispeech_5105-28240,33.64,very_long,non-streaming,2904.75,2838.86,65.89,
librispeech_3570-5695,33.79,very_long,streaming,2090.73,1135.65,955.08,
librispeech_3570-5695,33.79,very_long,non-streaming,3109.55,3040.17,69.39,
librispeech_3575-170457,33.85,very_long,streaming,2071.86,991.77,1080.09,
librispeech_3575-170457,33.85,very_long,non-streaming,2964.80,2899.41,65.40,
librispeech_5142-36377,34.31,very_long,streaming,1423.57,1317.19,106.39,
librispeech_5142-36377,34.31,very_long,non-streaming,3109.87,3041.44,68.43,
librispeech_4970-29095,34.38,very_long,streaming,1372.01,1277.27,94.74,
librispeech_4970-29095,34.38,very_long,non-streaming,2621.58,2575.83,45.75,
librispeech_5683-32879,34.60,very_long,streaming,1327.73,1231.40,96.33,
librispeech_5683-32879,34.60,very_long,non-streaming,2902.09,2854.50,47.59,
librispeech_3570-5696,36.36,very_long,streaming,2108.44,1984.12,124.32,
librispeech_3570-5696,36.36,very_long,non-streaming,3286.63,3212.96,73.67,
librispeech_5639-40744,38.13,very_long,streaming,2522.70,1304.41,1218.29,
librispeech_5639-40744,38.13,very_long,non-streaming,3388.06,3318.86,69.20,
librispeech_4992-23283,38.41,very_long,streaming,2487.06,1314.21,1172.85,
librispeech_4992-23283,38.41,very_long,non-streaming,2789.95,2723.17,66.78,
librispeech_4992-41806,41.95,very_long,streaming,2354.01,1092.38,1261.63,
librispeech_4992-41806,41.95,very_long,non-streaming,3279.17,3209.73,69.44,
