sample_id,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
librispeech_1580-141084,13.76,medium,streaming,1297.57,1185.68,111.90,
librispeech_1580-141084,13.76,medium,non-streaming,1297.19,1253.43,43.76,
librispeech_1995-1836,14.21,medium,streaming,1531.87,1431.46,100.41,
librispeech_1995-1836,14.21,medium,non-streaming,1399.81,1355.33,44.47,
librispeech_121-127105,14.38,medium,streaming,1450.49,1332.02,118.47,
librispeech_121-127105,14.38,medium,non-streaming,1289.78,1249.12,40.66,
librispeech_1284-1180,14.92,medium,streaming,1775.85,1637.14,138.71,
librispeech_1284-1180,14.92,medium,non-streaming,1497.72,1451.35,46.36,
librispeech_1995-1837,14.94,medium,streaming,1411.96,1289.74,122.23,
librispeech_1995-1837,14.94,medium,non-streaming,1374.65,1330.72,43.93,
librispeech_121-123859,15.81,long,streaming,1584.88,686.13,898.76,
librispeech_121-123859,15.81,long,non-streaming,1254.07,1197.23,56.84,
librispeech_237-134500,16.26,long,streaming,1299.09,1209.46,89.63,
librispeech_237-134500,16.26,long,non-streaming,1375.43,1313.81,61.62,
librispeech_1284-134647,17.44,long,streaming,1670.81,1551.87,118.94,
librispeech_1284-134647,17.44,long,non-streaming,1468.41,1421.65,46.76,
librispeech_1995-1826,18.21,long,streaming,1616.63,1516.58,100.05,
librispeech_1995-1826,18.21,long,non-streaming,1485.06,1440.46,44.60,
librispeech_2300-131720,18.69,long,streaming,2028.73,925.48,1103.26,
librispeech_2300-131720,18.69,long,non-streaming,2025.94,1977.35,48.59,
librispeech_1320-122617,20.10,long,streaming,2675.02,1388.74,1286.28,
librispeech_1320-122617,20.10,long,non-streaming,1899.12,1853.83,45.28,
librispeech_2094-142345,20.52,long,streaming,1589.65,465.60,1124.05,
librispeech_2094-142345,20.52,long,non-streaming,1405.97,1363.26,42.71,
librispeech_2830-3979,21.11,long,streaming,2050.10,907.55,1142.54,
librispeech_2830-3979,21.11,long,non-streaming,1667.17,1620.57,46.60,
librispeech_237-134493,21.52,long,streaming,928.03,138.04,789.99,
librispeech_237-134493,21.52,long,non-streaming,1459.15,1398.86,60.29,
librispeech_2961-960,24.71,long,streaming,1775.95,832.83,943.11,
librispeech_2961-960,24.71,long,non-streaming,2163.57,2107.68,55.89,
librispeech_4446-2275,27.62,long,streaming,1197.30,1093.41,103.89,
librispeech_4446-2275,27.62,long,non-streaming,2271.35,2204.07,67.28,
librispeech_4446-2271,28.11,long,streaming,1737.14,1633.17,103.97,
librispeech_4446-2271,28.11,long,non-streaming,2634.38,2570.40,63.98,
librispeech_61-70970,29.71,long,streaming,1538.43,1447.85,90.58,
librispeech_61-70970,29.71,long,non-streaming,2842.68,2777.12,65.56,
librispeech_5105-28240,30.58,very_long,streaming,1111.74,1027.79,83.95,
librispeech_5105-28240,30.58,very_long,non-streaming,2646.83,2599.30,47.53,
librispeech_3570-5695,30.71,very_long,streaming,1974.51,978.69,995.82,
librispeech_3570-5695,30.71,very_long,non-streaming,3031.53,2961.81,69.73,
librispeech_3729-6852,30.74,very_long,streaming,1336.46,1249.97,86.49,
librispeech_3729-6852,30.74,very_long,non-streaming,2545.83,2500.36,45.47,
librispeech_4077-13754,30.76,very_long,streaming,1360.90,1242.94,117.96,
librispeech_4077-13754,30.76,very_long,non-streaming,2677.04,2612.28,64.76,
librispeech_5142-33396,30.84,very_long,streaming,1328.75,1198.54,130.22,
librispeech_5142-33396,30.84,very_long,non-streaming,3091.41,3021.73,69.69,
librispeech_672-122797,31.14,very_long,streaming,1980.24,944.19,1036.05,
librispeech_672-122797,31.14,very_long,non-streaming,2397.32,2352.72,44.60,
librispeech_4970-29095,31.25,very_long,streaming,1230.82,1142.31,88.51,
librispeech_4970-29095,31.25,very_long,non-streaming,2473.42,2426.60,46.82,
librispeech_5683-32879,31.46,very_long,streaming,1276.96,1178.14,98.82,
librispeech_5683-32879,31.46,very_long,non-streaming,2830.84,2757.76,73.09,
librispeech_5639-40744,34.66,very_long,streaming,2817.26,1622.95,1194.31,
librispeech_5639-40744,34.66,very_long,non-streaming,3124.76,3056.10,68.67,
librispeech_4992-23283,34.92,very_long,streaming,2371.75,1220.50,1151.26,
librispeech_4992-23283,34.92,very_long,non-streaming,2765.10,2700.24,64.85,
librispeech_4992-41806,38.14,very_long,streaming,2210.60,1074.05,1136.55,
librispeech_4992-41806,38.14,very_long,non-streaming,3983.52,3913.25,70.27,
librispeech_4970-29093,38.63,very_long,streaming,1551.87,615.59,936.28,
librispeech_4970-29093,38.63,very_long,non-streaming,3073.33,3007.37,65.96,
