dataset,sample_id,duration_group,json_duration_s,problems
librispeech,librispeech_1089-134686,long,21.267,ok
librispeech,librispeech_1089-134691,long,19.899,ok
librispeech,librispeech_1188-133604,long,20.554,ok
librispeech,librispeech_121-121726,long,15.126,ok
librispeech,librispeech_121-123852,long,17.695,ok
librispeech,librispeech_121-123859,long,17.39,ok
librispeech,librispeech_121-127105,long,15.814,ok
librispeech,librispeech_1221-135766,long,29.42,ok
librispeech,librispeech_1221-135767,long,24.85,ok
librispeech,librispeech_1284-1180,long,16.413,ok
librispeech,librispeech_1284-1181,long,15.619,ok
librispeech,librispeech_1284-134647,long,19.18,ok
librispeech,librispeech_1320-122612,long,23.604,ok
librispeech,librispeech_1320-122617,long,22.111,ok
librispeech,librispeech_1580-141083,long,19.554,ok
librispeech,librispeech_1580-141084,long,15.141,ok
librispeech,librispeech_1995-1826,long,20.031,ok
librispeech,librispeech_1995-1836,long,15.626,ok
librispeech,librispeech_1995-1837,long,16.438,ok
librispeech,librispeech_2094-142345,long,22.57,ok
librispeech,librispeech_2300-131720,long,20.555,ok
librispeech,librispeech_237-126133,long,26.014,ok
librispeech,librispeech_237-134493,long,23.677,ok
librispeech,librispeech_237-134500,long,17.889,ok
librispeech,librispeech_260-123286,long,21.25,ok
librispeech,librispeech_260-123288,long,16.899,ok
librispeech,librispeech_260-123440,long,20.033,ok
librispeech,librispeech_2830-3979,long,23.224,ok
librispeech,librispeech_2830-3980,long,18.693,ok
librispeech,librispeech_2961-960,long,27.18,ok
librispeech,librispeech_2961-961,very_long,35.391,ok
librispeech,librispeech_3570-5694,very_long,48.783,ok
librispeech,librispeech_3570-5695,very_long,33.787,ok
librispeech,librispeech_3570-5696,very_long,36.363,ok
librispeech,librispeech_3575-170457,very_long,33.848,ok
librispeech,librispeech_3729-6852,very_long,33.813,ok
librispeech,librispeech_4077-13751,very_long,46.583,ok
librispeech,librispeech_4077-13754,very_long,33.836,ok
librispeech,librispeech_4446-2271,very_long,30.92,ok
librispeech,librispeech_4446-2273,very_long,32.102,ok
librispeech,librispeech_4446-2275,very_long,30.38,ok
librispeech,librispeech_4507-16021,very_long,31.486,ok
librispeech,librispeech_4970-29093,very_long,42.492,ok
librispeech,librispeech_4970-29095,very_long,34.38,ok
librispeech,librispeech_4992-23283,very_long,38.412,ok
librispeech,librispeech_4992-41797,very_long,34.183,ok
librispeech,librispeech_4992-41806,very_long,41.951,ok
