scope,mode,duration_group,n,ttft_mean,ttft_std,ttft_p50,ttft_p95
aishell1_babble,non-streaming,long,15,1615.6,134.1,1656.2,1779.4
aishell1_babble,non-streaming,very_long,15,2839.9,208.3,2806.7,3206.1
aishell1_babble,non-streaming,overall,30,2227.7,636.7,2198.2,3102.7
aishell1_babble,streaming,long,15,1650.2,199.2,1672.8,1943.6
aishell1_babble,streaming,very_long,15,2514.3,1442.9,2139.5,5181.7
aishell1_babble,streaming,overall,30,2082.2,1116.9,1717.9,4473.8
aishell1_clean,non-streaming,long,30,1627.4,148.9,1640.3,1850.9
aishell1_clean,non-streaming,very_long,30,2981.8,241.8,2969.6,3364.2
aishell1_clean,non-streaming,extra_long,15,5139.9,381.7,5103.5,5725.9
aishell1_clean,non-streaming,overall,75,2871.7,1309.4,2807.3,5380.0
aishell1_clean,streaming,long,30,1658.7,328.2,1681.5,2207.5
aishell1_clean,streaming,very_long,30,1706.8,394.8,1679.0,2343.0
aishell1_clean,streaming,extra_long,15,1762.9,275.4,1806.9,2182.1
aishell1_clean,streaming,overall,75,1698.8,349.4,1727.9,2218.0
aishell1_snr10,non-streaming,long,15,1604.6,155.3,1571.3,1836.3
aishell1_snr10,non-streaming,very_long,15,3018.9,160.0,2998.3,3267.2
aishell1_snr10,non-streaming,overall,30,2311.8,724.5,2270.9,3228.4
aishell1_snr10,streaming,long,15,1611.1,349.9,1578.5,2299.4
aishell1_snr10,streaming,very_long,15,1698.3,243.1,1727.7,1993.9
aishell1_snr10,streaming,overall,30,1654.7,304.4,1634.5,2155.5
aishell1_snr15,non-streaming,long,15,1606.0,152.2,1569.1,1849.6
aishell1_snr15,non-streaming,very_long,15,2975.1,186.3,3011.2,3296.2
aishell1_snr15,non-streaming,overall,30,2290.5,705.4,2265.1,3224.2
aishell1_snr15,streaming,long,15,1562.3,409.2,1419.7,2305.2
aishell1_snr15,streaming,very_long,15,1698.9,342.5,1696.2,2262.9
aishell1_snr15,streaming,overall,30,1630.6,383.5,1612.9,2322.7
aishell1_snr20,non-streaming,long,15,1648.9,99.2,1637.9,1778.0
aishell1_snr20,non-streaming,very_long,15,2940.4,253.3,2893.1,3397.9
aishell1_snr20,non-streaming,overall,30,2294.6,673.8,2154.1,3228.3
aishell1_snr20,streaming,long,15,1730.3,388.0,1560.1,2303.3
aishell1_snr20,streaming,very_long,15,1661.8,300.7,1575.7,2114.8
aishell1_snr20,streaming,overall,30,1696.1,348.8,1567.9,2309.7
aishell1_speed09,non-streaming,long,15,1573.3,144.7,1607.1,1746.1
aishell1_speed09,non-streaming,very_long,15,2899.7,228.1,2832.7,3212.8
aishell1_speed09,non-streaming,overall,30,2236.5,690.2,2181.8,3140.5
aishell1_speed09,streaming,long,15,1648.3,303.0,1552.4,2082.1
