scope,mode,n,n_empty,wer_mean,wer_std,cer_mean,cer_std,wer_corpus,cer_corpus,wer_S,wer_D,wer_I,wer_N,cer_S,cer_D,cer_I,cer_N
aishell1_babble,non-streaming,30,0,0.1360,0.1130,0.1360,0.1130,0.1429,0.1429,239,67,8,2198,239,67,8,2198
aishell1_babble,streaming,30,5,0.2863,0.3360,0.2863,0.3360,0.2662,0.2662,207,376,2,2198,207,376,2,2198
aishell1_clean,non-streaming,75,0,0.1077,0.0916,0.1077,0.0916,0.1118,0.1118,579,186,31,7117,579,186,31,7117
aishell1_clean,streaming,75,0,0.1180,0.0918,0.1180,0.0918,0.1255,0.1255,663,193,37,7117,663,193,37,7117
aishell1_snr10,non-streaming,30,0,0.1233,0.1122,0.1233,0.1122,0.1275,0.1275,208,50,18,2164,208,50,18,2164
aishell1_snr10,streaming,30,0,0.1312,0.1141,0.1312,0.1141,0.1405,0.1405,229,62,13,2164,229,62,13,2164
aishell1_snr15,non-streaming,30,0,0.1064,0.0901,0.1064,0.0901,0.1137,0.1137,201,38,14,2225,201,38,14,2225
aishell1_snr15,streaming,30,0,0.1110,0.0883,0.1110,0.0883,0.1173,0.1173,220,37,4,2225,220,37,4,2225
aishell1_snr20,non-streaming,30,0,0.1224,0.1144,0.1224,0.1144,0.1281,0.1281,213,64,10,2241,213,64,10,2241
aishell1_snr20,streaming,30,0,0.1242,0.1044,0.1242,0.1044,0.1299,0.1299,227,58,6,2241,227,58,6,2241
aishell1_speed09,non-streaming,30,0,0.1232,0.0967,0.1232,0.0967,0.1306,0.1306,244,35,9,2205,244,35,9,2205
aishell1_speed09,streaming,30,0,0.1380,0.0932,0.1380,0.0932,0.1392,0.1392,254,35,18,2205,254,35,18,2205
aishell1_speed11,non-streaming,30,0,0.1510,0.1047,0.1510,0.1047,0.1612,0.1612,309,45,15,2289,309,45,15,2289
aishell1_speed11,streaming,30,0,0.1827,0.1103,0.1827,0.1103,0.1918,0.1918,377,45,17,2289,377,45,17,2289
librispeech_babble,non-streaming,30,0,0.0271,0.0248,0.0132,0.0173,0.0296,0.0146,50,9,7,2227,48,98,32,12225
librispeech_babble,streaming,30,12,0.4372,0.4598,0.4102,0.4817,0.4001,0.3750,55,832,4,2227,34,4535,15,12225
librispeech_clean,non-streaming,75,0,0.0297,0.0270,0.0105,0.0139,0.0290,0.0102,143,40,13,6756,84,214,80,37059
librispeech_clean,streaming,75,0,0.0565,0.0351,0.0136,0.0148,0.0499,0.0130,213,109,15,6756,96,290,95,37059
librispeech_snr10,non-streaming,30,0,0.0372,0.0468,0.0140,0.0192,0.0387,0.0149,63,15,2,2066,44,100,25,11337
librispeech_snr10,streaming,30,0,0.0817,0.0645,0.0246,0.0360,0.0799,0.0259,116,41,8,2066,103,130,61,11337
librispeech_snr15,non-streaming,30,0,0.0255,0.0253,0.0085,0.0127,0.0264,0.0086,47,10,2,2232,31,61,13,12215
librispeech_snr15,streaming,30,0,0.0578,0.0302,0.0124,0.0131,0.0556,0.0123,78,40,6,2232,35,97,18,12215
librispeech_snr20,non-streaming,30,0,0.0288,0.0246,0.0107,0.0140,0.0270,0.0094,43,10,4,2111,30,58,19,11362
librispeech_snr20,streaming,30,0,0.0627,0.0295,0.0164,0.0165,0.0573,0.0151,71,43,7,2111,36,102,34,11362
librispeech_speed09,non-streaming,30,0,0.0458,0.0381,0.0230,0.0241,0.0491,0.0245,76,13,17,2158,86,109,94,11819
librispeech_speed09,streaming,30,0,0.0751,0.0455,0.0220,0.0211,0.0751,0.0228,108,46,8,2158,75,133,62,11819
librispeech_speed11,non-streaming,30,0,0.0380,0.0326,0.0164,0.0165,0.0440,0.0185,67,15,12,2138,88,72,55,11647
librispeech_speed11,streaming,30,0,0.0741,0.0305,0.0216,0.0174,0.0767,0.0236,108,47,9,2138,115,111,49,11647
ALL,non-streaming,510,0,0.0770,0.0881,0.0673,0.0914,0.0808,0.0314,2482,597,162,40127,2404,1197,423,128103
ALL,streaming,510,17,0.1293,0.1822,0.1064,0.1900,0.1257,0.0726,2926,1964,154,40127,2671,6204,431,128103
