sample_id,scope,mode,duration_group,wer,cer,wer_s,wer_d,wer_i,wer_n,cer_s,cer_d,cer_i,cer_n,empty
aishell1_S0004_01,aishell1_babble,streaming,long,0.0000,0.0000,0,0,0,54,0,0,0,54,0
aishell1_S0004_01,aishell1_babble,non-streaming,long,0.0000,0.0000,0,0,0,54,0,0,0,54,0
aishell1_S0023_01,aishell1_babble,streaming,long,0.2667,0.2667,7,5,0,45,7,5,0,45,0
aishell1_S0023_01,aishell1_babble,non-streaming,long,0.2667,0.2667,7,5,0,45,7,5,0,45,0
aishell1_S0013_01,aishell1_babble,streaming,long,1.0000,1.0000,0,48,0,48,0,48,0,48,1
aishell1_S0013_01,aishell1_babble,non-streaming,long,0.1250,0.1250,6,0,0,48,6,0,0,48,0
aishell1_S0020_01,aishell1_babble,streaming,long,0.1875,0.1875,8,1,0,48,8,1,0,48,0
aishell1_S0020_01,aishell1_babble,non-streaming,long,0.1875,0.1875,8,1,0,48,8,1,0,48,0
aishell1_S0028_01,aishell1_babble,streaming,long,0.0244,0.0244,1,0,0,41,1,0,0,41,0
aishell1_S0028_01,aishell1_babble,non-streaming,long,0.0244,0.0244,1,0,0,41,1,0,0,41,0
aishell1_S0011_01,aishell1_babble,streaming,long,0.0727,0.0727,4,0,0,55,4,0,0,55,0
aishell1_S0011_01,aishell1_babble,non-streaming,long,0.0000,0.0000,0,0,0,55,0,0,0,55,0
aishell1_S0018_01,aishell1_babble,streaming,long,0.1111,0.1111,6,0,0,54,6,0,0,54,0
aishell1_S0018_01,aishell1_babble,non-streaming,long,0.1111,0.1111,6,0,0,54,6,0,0,54,0
aishell1_S0006_01,aishell1_babble,streaming,long,0.5283,0.5283,13,15,0,53,13,15,0,53,0
aishell1_S0006_01,aishell1_babble,non-streaming,long,0.5283,0.5283,13,15,0,53,13,15,0,53,0
aishell1_S0019_01,aishell1_babble,streaming,long,0.0741,0.0741,4,0,0,54,4,0,0,54,0
aishell1_S0019_01,aishell1_babble,non-streaming,long,0.0556,0.0556,3,0,0,54,3,0,0,54,0
aishell1_S0017_01,aishell1_babble,streaming,long,0.0189,0.0189,1,0,0,53,1,0,0,53,0
aishell1_S0017_01,aishell1_babble,non-streaming,long,0.0000,0.0000,0,0,0,53,0,0,0,53,0
aishell1_S0029_01,aishell1_babble,streaming,long,1.0000,1.0000,0,61,0,61,0,61,0,61,1
aishell1_S0029_01,aishell1_babble,non-streaming,long,0.0984,0.0984,6,0,0,61,6,0,0,61,0
aishell1_S0015_01,aishell1_babble,streaming,long,0.0893,0.0893,5,0,0,56,5,0,0,56,0
aishell1_S0015_01,aishell1_babble,non-streaming,long,0.0893,0.0893,5,0,0,56,5,0,0,56,0
aishell1_S0010_01,aishell1_babble,streaming,long,1.0000,1.0000,0,55,0,55,0,55,0,55,1
aishell1_S0010_01,aishell1_babble,non-streaming,long,0.0182,0.0182,1,0,0,55,1,0,0,55,0
aishell1_S0022_01,aishell1_babble,streaming,long,0.2273,0.2273,14,1,0,66,14,1,0,66,0
aishell1_S0022_01,aishell1_babble,non-streaming,long,0.1818,0.1818,11,1,0,66,11,1,0,66,0
aishell1_S0012_01,aishell1_babble,streaming,long,1.0000,1.0000,0,57,0,57,0,57,0,57,1
aishell1_S0012_01,aishell1_babble,non-streaming,long,0.0526,0.0526,3,0,0,57,3,0,0,57,0
aishell1_S0060_01,aishell1_babble,streaming,very_long,0.2174,0.2174,12,8,0,92,12,8,0,92,0
aishell1_S0060_01,aishell1_babble,non-streaming,very_long,0.2283,0.2283,13,8,0,92,13,8,0,92,0
aishell1_S0035_01,aishell1_babble,streaming,very_long,0.0330,0.0330,3,0,0,91,3,0,0,91,0
aishell1_S0035_01,aishell1_babble,non-streaming,very_long,0.0769,0.0769,5,0,2,91,5,0,2,91,0
aishell1_S0045_01,aishell1_babble,streaming,very_long,0.1392,0.1392,8,3,0,79,8,3,0,79,0
aishell1_S0045_01,aishell1_babble,non-streaming,very_long,0.1392,0.1392,8,3,0,79,8,3,0,79,0
aishell1_S0033_01,aishell1_babble,streaming,very_long,0.1889,0.1889,12,5,0,90,12,5,0,90,0
aishell1_S0033_01,aishell1_babble,non-streaming,very_long,0.1889,0.1889,12,5,0,90,12,5,0,90,0
aishell1_S0049_01,aishell1_babble,streaming,very_long,0.1442,0.1442,10,5,0,104,10,5,0,104,0
aishell1_S0049_01,aishell1_babble,non-streaming,very_long,0.1442,0.1442,10,5,0,104,10,5,0,104,0
aishell1_S0054_01,aishell1_babble,streaming,very_long,0.0230,0.0230,2,0,0,87,2,0,0,87,0
aishell1_S0054_01,aishell1_babble,non-streaming,very_long,0.0230,0.0230,2,0,0,87,2,0,0,87,0
aishell1_S0052_01,aishell1_babble,streaming,very_long,0.0602,0.0602,5,0,0,83,5,0,0,83,0
aishell1_S0052_01,aishell1_babble,non-streaming,very_long,0.0964,0.0964,8,0,0,83,8,0,0,83,0
aishell1_S0046_01,aishell1_babble,streaming,very_long,0.1978,0.1978,15,3,0,91,15,3,0,91,0
aishell1_S0046_01,aishell1_babble,non-streaming,very_long,0.1978,0.1978,15,3,0,91,15,3,0,91,0
aishell1_S0038_01,aishell1_babble,streaming,very_long,1.0000,1.0000,0,88,0,88,0,88,0,88,1
aishell1_S0038_01,aishell1_babble,non-streaming,very_long,0.2386,0.2386,18,0,3,88,18,0,3,88,0
aishell1_S0061_01,aishell1_babble,streaming,very_long,0.0805,0.0805,7,0,0,87,7,0,0,87,0
aishell1_S0061_01,aishell1_babble,non-streaming,very_long,0.0920,0.0920,8,0,0,87,8,0,0,87,0
aishell1_S0058_01,aishell1_babble,streaming,very_long,0.1340,0.1340,13,0,0,97,13,0,0,97,0
aishell1_S0058_01,aishell1_babble,non-streaming,very_long,0.1031,0.1031,10,0,0,97,10,0,0,97,0
aishell1_S0055_01,aishell1_babble,streaming,very_long,0.0316,0.0316,3,0,0,95,3,0,0,95,0
aishell1_S0055_01,aishell1_babble,non-streaming,very_long,0.0316,0.0316,3,0,0,95,3,0,0,95,0
aishell1_S0048_01,aishell1_babble,streaming,very_long,0.2637,0.2637,20,3,1,91,20,3,1,91,0
aishell1_S0048_01,aishell1_babble,non-streaming,very_long,0.2967,0.2967,22,3,2,91,22,3,2,91,0
aishell1_S0034_01,aishell1_babble,streaming,very_long,0.2091,0.2091,16,6,1,110,16,6,1,110,0
aishell1_S0034_01,aishell1_babble,non-streaming,very_long,0.2091,0.2091,16,6,1,110,16,6,1,110,0
aishell1_S0050_01,aishell1_babble,streaming,very_long,0.2655,0.2655,18,12,0,113,18,12,0,113,0
aishell1_S0050_01,aishell1_babble,non-streaming,very_long,0.2743,0.2743,19,12,0,113,19,12,0,113,0
