sample_id,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,wer,cer,divergence_count,error
multiwoz_MUL1152_turn2,15.05,long,la_streaming,1523.27,1477.07,46.20,0.1212,0.0552,0,
multiwoz_PMUL2936_turn2,15.34,long,la_streaming,1540.23,1494.75,45.47,0.0500,0.0100,0,
crosswoz_11613_turn2,15.39,long,la_streaming,1574.47,1527.21,47.26,0.0508,0.0984,1,
multiwoz_MUL0084_turn2,15.44,long,la_streaming,1688.65,1641.78,46.87,0.2927,0.1451,0,
multiwoz_PMUL2130_turn2,15.46,long,la_streaming,1323.97,1278.47,45.50,0.2368,0.0863,0,
multiwoz_MUL2174_turn2,15.53,long,la_streaming,1583.23,1537.20,46.03,0.1622,0.0650,0,
multiwoz_PMUL0460_turn2,15.57,long,la_streaming,1328.29,1284.56,43.73,0.3488,0.1535,1,
crosswoz_11735_turn2,15.85,long,la_streaming,1956.87,1891.87,65.01,0.0441,0.0714,0,
multiwoz_PMUL4612_turn2,15.92,long,la_streaming,1712.61,1651.17,61.44,0.0392,0.0122,0,
multiwoz_MUL0076_turn2,16.02,long,la_streaming,1232.95,1157.29,75.67,0.0667,0.0212,0,
crosswoz_9200_turn2,16.20,long,la_streaming,1714.08,1668.07,46.02,0.1194,0.1429,2,
multiwoz_PMUL3103_turn2,16.74,long,la_streaming,1629.97,1586.78,43.18,0.2683,0.2042,0,
multiwoz_MUL2016_turn2,16.75,long,la_streaming,1243.82,1197.86,45.96,0.2174,0.0807,0,
crosswoz_12315_turn2,16.93,long,la_streaming,1918.92,1875.12,43.79,0.0667,0.0779,0,
crosswoz_9365_turn2,16.93,long,la_streaming,1913.06,1865.39,47.68,0.0704,0.1081,2,
multiwoz_PMUL0237_turn3,16.98,long,la_streaming,1756.18,1710.58,45.60,0.1951,0.0606,0,
multiwoz_PMUL2319_turn2,17.02,long,la_streaming,1746.89,1697.30,49.59,0.0345,0.0149,0,
multiwoz_PMUL4499_turn2,17.09,long,la_streaming,1357.86,1311.50,46.36,0.2093,0.0345,0,
multiwoz_MUL1031_turn2,17.12,long,la_streaming,1212.13,1163.95,48.17,0.0930,0.0338,0,
crosswoz_8717_turn2,17.28,long,la_streaming,1467.73,1422.45,45.28,0.0667,0.1039,0,
crosswoz_9394_turn2,17.37,long,la_streaming,2068.90,2022.06,46.84,0.1429,0.1806,0,
multiwoz_MUL1001_turn2,17.38,long,la_streaming,1827.47,1758.75,68.71,0.1522,0.0588,0,
multiwoz_MUL1320_turn3,17.44,long,la_streaming,1188.00,1141.27,46.73,0.1458,0.0427,0,
multiwoz_MUL1191_turn2,17.54,long,la_streaming,1759.67,1711.50,48.17,0.2549,0.1066,0,
crosswoz_10382_turn2,17.61,long,la_streaming,2066.93,2022.36,44.57,0.0658,0.1026,2,
crosswoz_7310_turn2,17.80,long,la_streaming,1876.34,1829.66,46.67,0.0959,0.1184,1,
crosswoz_10661_turn2,18.02,long,la_streaming,2101.68,2056.22,45.45,0.0375,0.0732,0,
crosswoz_7701_turn2,18.11,long,la_streaming,1449.75,1404.78,44.97,0.0533,0.0769,0,
crosswoz_9956_turn3,18.11,long,la_streaming,1148.09,1100.41,47.68,0.0145,0.0274,1,
crosswoz_8424_turn2,18.34,long,la_streaming,1541.32,1496.34,44.98,0.0260,0.0506,0,
multiwoz_MUL1459_turn2,18.38,long,la_streaming,1444.63,1381.46,63.17,0.1034,0.0288,0,
multiwoz_PMUL2175_turn2,18.65,long,la_streaming,1745.78,1698.40,47.38,0.2000,0.1107,0,
crosswoz_11406_turn2,18.89,long,la_streaming,1529.37,1463.20,66.17,0.0886,0.1235,0,
multiwoz_MUL2157_turn2,18.92,long,la_streaming,1457.85,1404.62,53.23,0.3077,0.1303,0,
multiwoz_MUL1330_turn2,18.99,long,la_streaming,1883.11,1836.99,46.12,0.0727,0.0445,0,
crosswoz_497_turn2,19.02,long,la_streaming,2047.51,2001.26,46.26,0.0706,0.0920,1,
crosswoz_10197_turn2,19.05,long,la_streaming,2159.92,2114.59,45.33,0.0361,0.0471,0,
crosswoz_962_turn2,19.21,long,la_streaming,1434.86,1390.55,44.31,0.0732,0.1190,0,
multiwoz_MUL1003_turn3,19.24,long,la_streaming,1813.57,1767.74,45.82,0.0000,0.0000,0,
crosswoz_2228_turn2,19.46,long,la_streaming,1784.66,1739.46,45.20,0.0617,0.0843,0,
crosswoz_10574_turn2,19.47,long,la_streaming,2031.89,1985.86,46.03,0.0610,0.0952,0,
crosswoz_422_turn2,19.48,long,la_streaming,1968.29,1910.51,57.78,0.0235,0.0690,1,
multiwoz_MUL0789_turn2,19.52,long,la_streaming,1438.61,1395.33,43.29,0.1961,0.1048,0,
multiwoz_PMUL0322_turn3,19.80,long,la_streaming,1519.22,1472.99,46.22,0.1818,0.0662,0,
multiwoz_MUL0711_turn2,19.82,long,la_streaming,1338.12,1294.61,43.50,0.0714,0.0235,0,
crosswoz_7196_turn2,19.83,long,la_streaming,2166.24,2119.80,46.44,0.0870,0.0957,0,
multiwoz_MUL0666_turn2,19.86,long,la_streaming,1666.96,1622.49,44.47,0.2909,0.1018,0,
multiwoz_MUL0641_turn2,20.17,long,la_streaming,1887.75,1843.08,44.66,0.1250,0.0379,0,
crosswoz_1101_turn2,20.52,long,la_streaming,1725.76,1675.93,49.84,0.0633,0.1111,1,
multiwoz_PMUL0237_turn4,20.55,long,la_streaming,2050.68,2005.89,44.79,0.1379,0.0351,0,
crosswoz_8707_turn2,20.62,long,la_streaming,2137.76,2090.97,46.79,0.0000,0.0114,0,
crosswoz_8907_turn2,20.70,long,la_streaming,2176.97,2108.01,68.96,0.0645,0.0938,0,
multiwoz_MUL1215_turn2,20.93,long,la_streaming,1936.05,1890.48,45.57,0.3571,0.1193,0,
multiwoz_MUL1353_turn2,21.07,long,la_streaming,1643.50,1597.07,46.43,0.2885,0.0964,0,
multiwoz_PMUL2590_turn3,21.14,long,la_streaming,1371.38,1325.63,45.75,0.2407,0.1579,0,
crosswoz_11334_turn2,21.25,long,la_streaming,2024.59,1978.68,45.92,0.0341,0.0889,0,
crosswoz_10749_turn2,21.50,long,la_streaming,1832.55,1785.92,46.63,0.0110,0.0645,1,
multiwoz_PMUL2296_turn2,21.51,long,la_streaming,1322.84,1278.00,44.84,0.0308,0.0255,0,
crosswoz_9577_turn2,21.77,long,la_streaming,1607.52,1557.99,49.53,0.0211,0.0722,0,
crosswoz_9173_turn2,22.05,long,la_streaming,1944.08,1893.71,50.37,0.0330,0.0842,2,
multiwoz_MUL0176_turn3,22.07,long,la_streaming,1979.72,1889.66,90.06,0.1176,0.0344,0,
multiwoz_MUL0084_turn3,22.15,long,la_streaming,1379.73,1293.72,86.02,0.4107,0.1392,0,
