sample_id,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
multiwoz_MUL1152_turn2,15.05,long,streaming,1183.76,1079.67,104.09,
multiwoz_MUL1152_turn2,15.05,long,non-streaming,1386.19,1338.69,47.50,
multiwoz_PMUL2936_turn2,15.34,long,streaming,1654.92,1513.22,141.70,
multiwoz_PMUL2936_turn2,15.34,long,non-streaming,1529.87,1474.11,55.76,
crosswoz_11613_turn2,15.39,long,streaming,1392.90,1281.47,111.43,
crosswoz_11613_turn2,15.39,long,non-streaming,1680.33,1632.70,47.64,
multiwoz_MUL0084_turn2,15.44,long,streaming,1303.00,1201.81,101.19,
multiwoz_MUL0084_turn2,15.44,long,non-streaming,1519.91,1476.70,43.21,
multiwoz_PMUL2130_turn2,15.46,long,streaming,1157.95,1056.12,101.82,
multiwoz_PMUL2130_turn2,15.46,long,non-streaming,1516.65,1457.72,58.93,
multiwoz_MUL2174_turn2,15.53,long,streaming,1253.05,1140.24,112.81,
multiwoz_MUL2174_turn2,15.53,long,non-streaming,1391.05,1334.24,56.81,
multiwoz_PMUL0460_turn2,15.57,long,streaming,1239.00,1105.39,133.60,
multiwoz_PMUL0460_turn2,15.57,long,non-streaming,1507.98,1456.28,51.70,
crosswoz_11735_turn2,15.85,long,streaming,1212.38,1128.87,83.51,
crosswoz_11735_turn2,15.85,long,non-streaming,1773.13,1725.87,47.26,
multiwoz_PMUL4612_turn2,15.92,long,streaming,1814.61,1645.89,168.72,
multiwoz_PMUL4612_turn2,15.92,long,non-streaming,1479.55,1436.65,42.91,
multiwoz_MUL0076_turn2,16.02,long,streaming,1314.13,1203.20,110.93,
multiwoz_MUL0076_turn2,16.02,long,non-streaming,1563.04,1500.16,62.88,
crosswoz_9200_turn2,16.20,long,streaming,1302.42,1197.65,104.77,
crosswoz_9200_turn2,16.20,long,non-streaming,1685.53,1637.97,47.56,
multiwoz_PMUL3103_turn2,16.74,long,streaming,1732.22,1609.82,122.40,
multiwoz_PMUL3103_turn2,16.74,long,non-streaming,1489.53,1446.15,43.38,
