scope,mode,duration_group,n,ttft_mean,ttft_std,ttft_p50,ttft_p95
crosswoz,non-streaming,long,55,2131.0,257.6,2119.4,2508.2
crosswoz,non-streaming,very_long,95,4357.1,856.3,4186.7,5953.3
crosswoz,non-streaming,extra_long,186,8448.0,1577.0,8540.8,11084.4
crosswoz,non-streaming,overall,336,6257.3,2838.9,6217.7,10705.8
crosswoz,la_streaming,long,55,1847.7,304.6,1888.3,2292.0
crosswoz,la_streaming,very_long,95,2153.4,679.7,1993.7,3491.0
crosswoz,la_streaming,extra_long,186,2160.0,754.6,1973.6,3684.6
crosswoz,la_streaming,overall,336,2107.0,688.6,1960.2,3446.6
crosswoz,streaming,long,55,1499.7,301.1,1409.4,2118.9
crosswoz,streaming,very_long,95,1561.1,355.1,1492.6,2091.3
crosswoz,streaming,extra_long,186,1644.4,467.5,1530.3,2399.9
crosswoz,streaming,overall,336,1597.2,417.9,1499.2,2304.8
multiwoz,non-streaming,long,53,1778.8,271.3,1727.4,2331.4
multiwoz,non-streaming,very_long,55,3126.6,306.0,3123.7,3609.9
multiwoz,non-streaming,extra_long,54,5112.2,445.4,4989.8,5859.0
multiwoz,non-streaming,overall,162,3347.5,1407.7,3126.8,5666.8
multiwoz,la_streaming,long,53,1630.3,322.9,1583.2,2264.4
multiwoz,la_streaming,very_long,55,2279.6,642.1,2118.5,3154.2
multiwoz,la_streaming,extra_long,54,2473.1,756.9,2329.2,3709.6
multiwoz,la_streaming,overall,162,2131.7,702.5,1890.1,3511.8
multiwoz,streaming,long,53,1427.7,268.9,1344.1,1975.9
multiwoz,streaming,very_long,55,1534.0,395.0,1493.2,2198.7
multiwoz,streaming,extra_long,54,1613.6,466.9,1500.9,2493.3
multiwoz,streaming,overall,162,1525.7,393.7,1434.2,2221.2
ALL,non-streaming,long,108,1958.2,317.7,1922.4,2464.2
ALL,non-streaming,very_long,150,3905.9,922.1,3674.4,5801.4
ALL,non-streaming,extra_long,240,7697.5,1978.0,7838.8,10995.3
ALL,non-streaming,overall,498,5310.8,2817.9,4780.9,10462.1
ALL,la_streaming,long,108,1741.0,332.0,1749.8,2278.8
ALL,la_streaming,very_long,150,2199.7,668.9,2031.6,3235.2
ALL,la_streaming,extra_long,240,2230.4,766.3,2012.6,3710.1
ALL,la_streaming,overall,498,2115.0,693.3,1948.5,3463.2
ALL,streaming,long,108,1464.3,288.0,1378.8,2053.5
ALL,streaming,very_long,150,1551.1,370.5,1492.9,2179.3
ALL,streaming,extra_long,240,1637.5,467.5,1515.9,2402.0
ALL,streaming,overall,498,1573.9,411.6,1484.4,2296.5
