sample_id,scope,mode,duration_group,wer,cer,wer_s,wer_d,wer_i,wer_n,cer_s,cer_d,cer_i,cer_n,empty
multiwoz_MUL1152_turn2,multiwoz,la_streaming,long,0.0909,0.0497,2,0,1,33,5,0,4,181,0
multiwoz_PMUL2936_turn2,multiwoz,la_streaming,long,0.0000,0.0000,0,0,0,40,0,0,0,201,0
crosswoz_11613_turn2,crosswoz,la_streaming,long,0.0508,0.0508,2,0,1,59,2,0,1,59,0
multiwoz_MUL0084_turn2,multiwoz,la_streaming,long,0.2927,0.1451,7,1,4,41,10,0,18,193,0
multiwoz_PMUL2130_turn2,multiwoz,la_streaming,long,0.0789,0.0508,2,0,1,38,7,0,3,197,0
multiwoz_MUL2174_turn2,multiwoz,la_streaming,long,0.1081,0.0550,2,1,1,37,4,2,5,200,0
multiwoz_PMUL0460_turn2,multiwoz,la_streaming,long,0.2791,0.1386,4,2,6,43,4,0,24,202,0
crosswoz_11735_turn2,crosswoz,la_streaming,long,0.0441,0.0441,2,0,1,68,2,0,1,68,0
multiwoz_PMUL4612_turn2,multiwoz,la_streaming,long,0.0392,0.0122,2,0,0,51,3,0,0,246,0
multiwoz_MUL0076_turn2,multiwoz,la_streaming,long,0.0667,0.0085,3,0,0,45,0,1,1,236,0
crosswoz_9200_turn2,crosswoz,la_streaming,long,0.1194,0.1194,7,0,1,67,7,0,1,67,0
multiwoz_PMUL3103_turn2,multiwoz,la_streaming,long,0.2195,0.1885,4,0,5,41,7,0,29,191,0
multiwoz_MUL2016_turn2,multiwoz,la_streaming,long,0.1957,0.0762,6,1,2,46,3,0,14,223,0
crosswoz_12315_turn2,crosswoz,la_streaming,long,0.0667,0.0667,4,1,0,75,4,1,0,75,0
crosswoz_9365_turn2,crosswoz,la_streaming,long,0.0704,0.0704,4,0,1,71,4,0,1,71,0
multiwoz_PMUL0237_turn3,multiwoz,la_streaming,long,0.0976,0.0433,3,1,0,41,5,5,0,231,0
multiwoz_PMUL2319_turn2,multiwoz,la_streaming,long,0.0172,0.0074,1,0,0,58,0,0,2,269,0
multiwoz_PMUL4499_turn2,multiwoz,la_streaming,long,0.0465,0.0043,1,1,0,43,0,1,0,232,0
multiwoz_MUL1031_turn2,multiwoz,la_streaming,long,0.0698,0.0253,2,0,1,43,0,0,6,237,0
crosswoz_8717_turn2,crosswoz,la_streaming,long,0.0667,0.0667,4,0,1,75,4,0,1,75,0
