sample_id,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
multiwoz_PMUL0271_turn3,30.09,very_long,streaming,1460.36,1352.71,107.65,
multiwoz_PMUL0271_turn3,30.09,very_long,non-streaming,2671.80,2617.25,54.55,
multiwoz_PMUL2590_turn4,30.28,very_long,streaming,2207.26,2058.33,148.93,
multiwoz_PMUL2590_turn4,30.28,very_long,non-streaming,2680.49,2635.21,45.28,
crosswoz_7701_turn3,30.56,very_long,streaming,1295.77,1210.69,85.07,
crosswoz_7701_turn3,30.56,very_long,non-streaming,3021.99,2976.42,45.58,
multiwoz_MUL2016_turn3,31.00,very_long,streaming,1576.86,1491.51,85.34,
multiwoz_MUL2016_turn3,31.00,very_long,non-streaming,2853.87,2807.84,46.03,
crosswoz_8672_turn3,31.66,very_long,streaming,1276.01,1182.90,93.11,
crosswoz_8672_turn3,31.66,very_long,non-streaming,3333.73,3275.84,57.89,
multiwoz_MUL1031_turn3,32.00,very_long,streaming,1778.18,1674.71,103.47,
multiwoz_MUL1031_turn3,32.00,very_long,non-streaming,2797.06,2742.88,54.19,
crosswoz_12315_turn3,32.11,very_long,streaming,1794.73,1658.49,136.24,
crosswoz_12315_turn3,32.11,very_long,non-streaming,3347.24,3282.30,64.94,
multiwoz_PMUL2936_turn4,33.53,very_long,streaming,1577.59,1460.95,116.64,
multiwoz_PMUL2936_turn4,33.53,very_long,non-streaming,2565.19,2501.08,64.11,
crosswoz_8907_turn3,35.33,very_long,streaming,1445.71,1361.56,84.15,
crosswoz_8907_turn3,35.33,very_long,non-streaming,3532.16,3486.37,45.79,
crosswoz_11592_turn2,35.79,very_long,streaming,1392.07,1303.05,89.02,
crosswoz_11592_turn2,35.79,very_long,non-streaming,3402.23,3356.63,45.60,
crosswoz_9577_turn3,36.69,very_long,streaming,1344.34,1259.82,84.52,
crosswoz_9577_turn3,36.69,very_long,non-streaming,3840.20,3794.02,46.19,
crosswoz_10574_turn4,37.76,very_long,streaming,1688.42,1584.94,103.49,
crosswoz_10574_turn4,37.76,very_long,non-streaming,3671.09,3605.56,65.53,
crosswoz_11730_turn3,37.84,very_long,streaming,1558.95,1472.22,86.73,
crosswoz_11730_turn3,37.84,very_long,non-streaming,3715.55,3647.01,68.54,
crosswoz_7196_turn3,38.28,very_long,streaming,1364.15,1275.57,88.57,
crosswoz_7196_turn3,38.28,very_long,non-streaming,3659.70,3590.72,68.98,
multiwoz_PMUL4031_turn4,38.48,very_long,streaming,1539.21,1445.07,94.13,
multiwoz_PMUL4031_turn4,38.48,very_long,non-streaming,2931.40,2866.70,64.69,
multiwoz_PMUL4612_turn4,39.14,very_long,streaming,1209.53,1122.04,87.49,
multiwoz_PMUL4612_turn4,39.14,very_long,non-streaming,3517.12,3447.98,69.14,
multiwoz_MUL0183_turn4,39.88,very_long,streaming,1210.04,1109.11,100.93,
multiwoz_MUL0183_turn4,39.88,very_long,non-streaming,3431.15,3361.31,69.84,
crosswoz_11592_turn3,40.77,very_long,streaming,1135.05,1048.72,86.33,
crosswoz_11592_turn3,40.77,very_long,non-streaming,3744.27,3678.21,66.06,
multiwoz_MUL0666_turn4,41.25,very_long,streaming,1410.32,1323.28,87.04,
multiwoz_MUL0666_turn4,41.25,very_long,non-streaming,4021.23,3949.21,72.03,
crosswoz_8717_turn3,41.78,very_long,streaming,1744.66,1658.74,85.92,
crosswoz_8717_turn3,41.78,very_long,non-streaming,3946.83,3877.60,69.22,
multiwoz_PMUL2590_turn5,43.50,very_long,streaming,1162.92,1074.23,88.69,
multiwoz_PMUL2590_turn5,43.50,very_long,non-streaming,3352.30,3270.71,81.59,
multiwoz_PMUL2296_turn4,43.66,very_long,streaming,2327.69,2240.84,86.85,
multiwoz_PMUL2296_turn4,43.66,very_long,non-streaming,3892.04,3821.08,70.95,
multiwoz_MUL0023_turn4,43.92,very_long,streaming,1260.70,1175.09,85.61,
multiwoz_MUL0023_turn4,43.92,very_long,non-streaming,3522.92,3452.19,70.72,
multiwoz_PMUL2130_turn4,44.72,very_long,streaming,1216.84,1111.43,105.41,
multiwoz_PMUL2130_turn4,44.72,very_long,non-streaming,3432.94,3357.48,75.46,
multiwoz_MUL1330_turn4,46.49,very_long,streaming,1302.58,1210.09,92.49,
multiwoz_MUL1330_turn4,46.49,very_long,non-streaming,3619.96,3550.33,69.63,
crosswoz_8907_turn4,46.73,very_long,streaming,1559.89,1466.09,93.80,
crosswoz_8907_turn4,46.73,very_long,non-streaming,4157.10,4086.33,70.77,
crosswoz_11613_turn5,46.92,very_long,streaming,1502.99,1416.75,86.24,
crosswoz_11613_turn5,46.92,very_long,non-streaming,4353.90,4284.33,69.57,
crosswoz_10382_turn4,46.93,very_long,streaming,1119.58,1019.54,100.04,
crosswoz_10382_turn4,46.93,very_long,non-streaming,4319.56,4245.12,74.44,
multiwoz_PMUL4612_turn5,47.23,very_long,streaming,1443.04,1356.01,87.03,
multiwoz_PMUL4612_turn5,47.23,very_long,non-streaming,3649.78,3579.77,70.01,
multiwoz_PMUL1745_turn5,48.29,very_long,streaming,1401.36,1309.90,91.46,
multiwoz_PMUL1745_turn5,48.29,very_long,non-streaming,4281.81,4200.22,81.60,
multiwoz_PMUL3103_turn5,49.42,very_long,streaming,1268.36,1184.24,84.11,
multiwoz_PMUL3103_turn5,49.42,very_long,non-streaming,3710.02,3638.97,71.05,
crosswoz_7701_turn4,50.77,very_long,streaming,1247.60,1162.07,85.53,
crosswoz_7701_turn4,50.77,very_long,non-streaming,5643.92,5573.73,70.19,
crosswoz_9394_turn4,52.05,very_long,streaming,1153.80,1070.57,83.22,
crosswoz_9394_turn4,52.05,very_long,non-streaming,4528.42,4458.94,69.47,
multiwoz_MUL1215_turn5,52.69,very_long,streaming,1557.64,1471.55,86.09,
multiwoz_MUL1215_turn5,52.69,very_long,non-streaming,3758.85,3680.67,78.18,
crosswoz_8202_turn4,53.14,very_long,streaming,1098.21,1006.36,91.85,
crosswoz_8202_turn4,53.14,very_long,non-streaming,4618.19,4548.80,69.39,
multiwoz_MUL2018_turn5,53.27,very_long,streaming,1289.34,1200.98,88.36,
multiwoz_MUL2018_turn5,53.27,very_long,non-streaming,3818.54,3739.58,78.96,
crosswoz_7652_turn3,53.35,very_long,streaming,1519.94,1435.70,84.24,
crosswoz_7652_turn3,53.35,very_long,non-streaming,4738.63,4661.77,76.86,
crosswoz_9577_turn4,53.42,very_long,streaming,1298.71,1211.92,86.79,
crosswoz_9577_turn4,53.42,very_long,non-streaming,5861.77,5791.88,69.89,
multiwoz_MUL1459_turn5,53.58,very_long,streaming,1259.23,1156.64,102.58,
multiwoz_MUL1459_turn5,53.58,very_long,non-streaming,3771.03,3691.85,79.17,
crosswoz_12011_turn4,53.96,very_long,streaming,1238.23,1155.04,83.19,
crosswoz_12011_turn4,53.96,very_long,non-streaming,4885.82,4806.44,79.38,
multiwoz_PMUL0085_turn5,55.18,very_long,streaming,1198.70,1113.62,85.08,
multiwoz_PMUL0085_turn5,55.18,very_long,non-streaming,4556.68,4476.92,79.76,
multiwoz_PMUL3103_turn6,55.24,very_long,streaming,1630.24,1545.02,85.23,
multiwoz_PMUL3103_turn6,55.24,very_long,non-streaming,3644.38,3566.01,78.37,
crosswoz_10040_turn4,56.44,very_long,streaming,1815.97,1713.72,102.25,
crosswoz_10040_turn4,56.44,very_long,non-streaming,5536.89,5458.96,77.94,
crosswoz_98_turn3,57.17,very_long,streaming,1222.45,1138.28,84.17,
crosswoz_98_turn3,57.17,very_long,non-streaming,4874.15,4796.56,77.59,
crosswoz_12299_turn4,57.30,very_long,streaming,1512.60,1369.90,142.70,
crosswoz_12299_turn4,57.30,very_long,non-streaming,4744.10,4666.28,77.82,
multiwoz_PMUL1745_turn6,57.34,very_long,streaming,1444.05,1351.53,92.52,
multiwoz_PMUL1745_turn6,57.34,very_long,non-streaming,5114.96,5028.19,86.77,
multiwoz_MUL0183_turn5,57.67,very_long,streaming,1261.36,1173.38,87.97,
multiwoz_MUL0183_turn5,57.67,very_long,non-streaming,4495.12,4415.84,79.29,
crosswoz_11406_turn5,57.73,very_long,streaming,1236.86,1152.20,84.65,
crosswoz_11406_turn5,57.73,very_long,non-streaming,5513.56,5434.99,78.57,
crosswoz_10331_turn4,59.61,very_long,streaming,1405.23,1318.51,86.72,
crosswoz_10331_turn4,59.61,very_long,non-streaming,5603.53,5523.08,80.46,
multiwoz_PMUL4031_turn5,59.73,very_long,streaming,1181.26,1074.10,107.16,
multiwoz_PMUL4031_turn5,59.73,very_long,non-streaming,4516.96,4437.91,79.05,
