sample_id,language,n_fragments,len_stream,len_oneshot,len_diff,first_diff_pos,seam_mismatch,n_diff_blocks,stream_diff_tokens,oneshot_diff_tokens,decoded_text_identical
multiwoz_PMUL0271_turn3,en,4,117,114,3,55,1,3,6,3,1
multiwoz_PMUL2590_turn4,en,2,117,117,0,-1,0,0,0,0,1
crosswoz_7701_turn3,zh,8,111,111,0,-1,0,0,0,0,1
multiwoz_MUL2016_turn3,en,4,122,120,2,41,1,3,6,4,1
crosswoz_8672_turn3,zh,4,123,123,0,-1,0,0,0,0,1
multiwoz_MUL1031_turn3,en,4,130,128,2,69,1,2,4,2,1
crosswoz_12315_turn3,zh,3,131,131,0,-1,0,0,0,0,1
multiwoz_PMUL2936_turn4,en,4,130,128,2,78,1,2,4,2,1
crosswoz_8907_turn3,zh,4,123,123,0,-1,0,0,0,0,1
crosswoz_11592_turn2,zh,7,114,114,0,-1,0,0,0,0,1
crosswoz_9577_turn3,zh,7,125,125,0,-1,0,0,0,0,1
crosswoz_10574_turn4,zh,4,137,137,0,-1,0,0,0,0,1
crosswoz_11730_turn3,zh,7,142,142,0,-1,0,0,0,0,1
crosswoz_7196_turn3,zh,6,146,146,0,-1,0,0,0,0,1
multiwoz_PMUL4031_turn4,en,6,137,134,3,41,1,3,6,3,1
multiwoz_PMUL4612_turn4,en,6,158,157,1,38,1,5,10,9,1
multiwoz_MUL0183_turn4,en,8,160,157,3,59,1,3,6,3,1
crosswoz_11592_turn3,zh,10,125,125,0,-1,0,0,0,0,1
multiwoz_MUL0666_turn4,en,8,163,161,2,43,1,4,8,6,1
crosswoz_8717_turn3,zh,6,159,159,0,-1,0,0,0,0,1
multiwoz_PMUL2590_turn5,en,6,166,164,2,51,1,5,10,8,1
multiwoz_PMUL2296_turn4,en,6,171,170,1,55,1,2,4,3,1
multiwoz_MUL0023_turn4,en,5,167,165,2,140,1,2,4,2,1
multiwoz_PMUL2130_turn4,en,6,166,161,5,65,1,5,10,5,1
multiwoz_MUL1330_turn4,en,7,177,174,3,30,1,5,10,7,1
crosswoz_8907_turn4,zh,7,150,150,0,-1,0,0,0,0,1
crosswoz_11613_turn5,zh,8,158,158,0,-1,0,0,0,0,1
crosswoz_10382_turn4,zh,8,169,169,0,-1,0,0,0,0,1
multiwoz_PMUL4612_turn5,en,8,176,174,2,38,1,5,10,8,1
multiwoz_PMUL1745_turn5,en,10,200,194,6,37,1,7,16,10,1
multiwoz_PMUL3103_turn5,en,7,180,177,3,70,1,5,10,7,1
crosswoz_7701_turn4,zh,8,171,171,0,-1,0,0,0,0,1
crosswoz_9394_turn4,zh,9,168,168,0,-1,0,0,0,0,1
multiwoz_MUL1215_turn5,en,8,185,180,5,64,1,6,12,7,1
crosswoz_8202_turn4,zh,10,178,178,0,-1,0,0,0,0,1
multiwoz_MUL2018_turn5,en,9,213,209,4,67,1,8,16,12,1
crosswoz_7652_turn3,zh,10,185,185,0,-1,0,0,0,0,1
crosswoz_9577_turn4,zh,9,176,176,0,-1,0,0,0,0,1
multiwoz_MUL1459_turn5,en,9,201,195,6,36,1,6,12,6,1
crosswoz_12011_turn4,zh,12,187,187,0,-1,0,0,0,0,1
multiwoz_PMUL0085_turn5,en,10,205,201,4,57,1,5,10,6,1
multiwoz_PMUL3103_turn6,en,6,202,200,2,45,1,2,4,2,1
crosswoz_10040_turn4,zh,10,185,185,0,-1,0,0,0,0,1
crosswoz_98_turn3,zh,13,194,194,0,-1,0,0,0,0,1
crosswoz_12299_turn4,zh,11,198,198,0,-1,0,0,0,0,1
multiwoz_PMUL1745_turn6,en,10,230,224,6,37,1,7,14,8,1
multiwoz_MUL0183_turn5,en,9,219,215,4,59,1,5,10,6,1
crosswoz_11406_turn5,zh,12,204,204,0,83,1,1,2,2,1
crosswoz_10331_turn4,zh,9,195,195,0,-1,0,0,0,0,1
multiwoz_PMUL4031_turn5,en,11,204,197,7,42,1,8,16,9,1
