sample_id,language,cosine,judge_score,judge_equivalent,judge_order,judge_error,solo_score_A,solo_score_B
crosswoz_10040_turn4,zh,,,,,,4,3
crosswoz_10331_turn4,zh,,,,,,4,3
crosswoz_10382_turn4,zh,,,,,,2,3
crosswoz_10574_turn4,zh,,,,,,4,3
crosswoz_11406_turn5,zh,,,,,,1,1
crosswoz_11592_turn2,zh,,,,,,2,4
crosswoz_11592_turn3,zh,,,,,,3,3
crosswoz_11613_turn5,zh,,,,,,4,3
crosswoz_11730_turn3,zh,,,,,,3,3
crosswoz_12011_turn4,zh,,,,,,1,3
crosswoz_12299_turn4,zh,,,,,,3,3
crosswoz_12315_turn3,zh,,,,,,3,3
crosswoz_7196_turn3,zh,,,,,,2,4
crosswoz_7652_turn3,zh,,,,,,3,2
crosswoz_7701_turn3,zh,,,,,,4,4
crosswoz_7701_turn4,zh,,,,,,3,3
crosswoz_8202_turn4,zh,,,,,,3,3
crosswoz_8672_turn3,zh,,,,,,3,2
crosswoz_8717_turn3,zh,,,,,,3,3
crosswoz_8907_turn3,zh,,,,,,4,4
crosswoz_8907_turn4,zh,,,,,,2,3
crosswoz_9394_turn4,zh,,,,,,3,3
crosswoz_9577_turn3,zh,,,,,,3,3
crosswoz_9577_turn4,zh,,,,,,3,3
crosswoz_98_turn3,zh,,,,,,3,2
multiwoz_MUL0023_turn4,en,,,,,,2,2
multiwoz_MUL0183_turn4,en,,,,,,3,3
multiwoz_MUL0183_turn5,en,,,,,,3,3
multiwoz_MUL0666_turn4,en,,,,,,4,4
multiwoz_MUL1031_turn3,en,,,,,,3,2
multiwoz_MUL1215_turn5,en,,,,,,5,3
multiwoz_MUL1330_turn4,en,,,,,,1,3
multiwoz_MUL1459_turn5,en,,,,,,3,4
multiwoz_MUL2016_turn3,en,,,,,,2,3
multiwoz_MUL2018_turn5,en,,,,,,4,2
multiwoz_PMUL0085_turn5,en,,,,,,2,2
multiwoz_PMUL0271_turn3,en,,,,,,5,5
multiwoz_PMUL1745_turn5,en,,,,,,3,4
multiwoz_PMUL1745_turn6,en,,,,,,4,4
multiwoz_PMUL2130_turn4,en,,,,,,4,4
multiwoz_PMUL2296_turn4,en,,,,,,3,2
multiwoz_PMUL2590_turn4,en,,,,,,3,2
multiwoz_PMUL2590_turn5,en,,,,,,3,4
multiwoz_PMUL2936_turn4,en,,,,,,3,3
multiwoz_PMUL3103_turn5,en,,,,,,3,4
multiwoz_PMUL3103_turn6,en,,,,,,3,4
multiwoz_PMUL4031_turn4,en,,,,,,5,3
multiwoz_PMUL4031_turn5,en,,,,,,2,3
multiwoz_PMUL4612_turn4,en,,,,,,4,2
multiwoz_PMUL4612_turn5,en,,,,,,5,3
