sample_id,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
multiwoz_PMUL0271_turn3,30.09,very_long,streaming,1010.05,-1124.42,2134.47,
multiwoz_PMUL0271_turn3,30.09,very_long,non-streaming,2627.39,2567.69,59.69,
multiwoz_PMUL2590_turn4,30.28,very_long,streaming,1884.26,350.16,1534.09,
multiwoz_PMUL2590_turn4,30.28,very_long,non-streaming,2558.99,2514.66,44.34,
crosswoz_7701_turn3,30.56,very_long,streaming,1001.28,-1171.44,2172.72,
crosswoz_7701_turn3,30.56,very_long,non-streaming,3030.99,2977.58,53.41,
multiwoz_MUL2016_turn3,31.00,very_long,streaming,994.99,-449.40,1444.39,
multiwoz_MUL2016_turn3,31.00,very_long,non-streaming,2858.40,2813.78,44.62,
crosswoz_8672_turn3,31.66,very_long,streaming,1025.67,-857.63,1883.30,
crosswoz_8672_turn3,31.66,very_long,non-streaming,3339.56,3287.78,51.79,
multiwoz_MUL1031_turn3,32.00,very_long,streaming,1005.69,-359.19,1364.89,
multiwoz_MUL1031_turn3,32.00,very_long,non-streaming,2700.62,2653.33,47.29,
crosswoz_12315_turn3,32.11,very_long,streaming,1272.60,-823.19,2095.79,
crosswoz_12315_turn3,32.11,very_long,non-streaming,3375.77,3309.16,66.61,
multiwoz_PMUL2936_turn4,33.53,very_long,streaming,961.79,-1034.41,1996.20,
multiwoz_PMUL2936_turn4,33.53,very_long,non-streaming,2526.61,2481.03,45.58,
crosswoz_8907_turn3,35.33,very_long,streaming,1050.91,-622.79,1673.69,
crosswoz_8907_turn3,35.33,very_long,non-streaming,3458.64,3413.30,45.34,
crosswoz_11592_turn2,35.79,very_long,streaming,976.39,-727.90,1704.29,
crosswoz_11592_turn2,35.79,very_long,non-streaming,3433.59,3388.87,44.72,
crosswoz_9577_turn3,36.69,very_long,streaming,1047.28,-760.54,1807.82,
crosswoz_9577_turn3,36.69,very_long,non-streaming,3748.40,3702.98,45.42,
crosswoz_10574_turn4,37.76,very_long,streaming,1285.55,-332.99,1618.54,
crosswoz_10574_turn4,37.76,very_long,non-streaming,3618.74,3553.28,65.47,
crosswoz_11730_turn3,37.84,very_long,streaming,1376.27,-326.44,1702.70,
crosswoz_11730_turn3,37.84,very_long,non-streaming,3750.49,3681.20,69.29,
crosswoz_7196_turn3,38.28,very_long,streaming,1017.08,-624.63,1641.71,
crosswoz_7196_turn3,38.28,very_long,non-streaming,3594.74,3526.05,68.69,
multiwoz_PMUL4031_turn4,38.48,very_long,streaming,1136.29,-405.56,1541.85,
multiwoz_PMUL4031_turn4,38.48,very_long,non-streaming,3033.34,2967.86,65.48,
multiwoz_PMUL4612_turn4,39.14,very_long,streaming,988.16,-769.22,1757.38,
multiwoz_PMUL4612_turn4,39.14,very_long,non-streaming,3245.63,3176.36,69.27,
multiwoz_MUL0183_turn4,39.88,very_long,streaming,1004.38,-672.81,1677.19,
multiwoz_MUL0183_turn4,39.88,very_long,non-streaming,3328.99,3260.24,68.75,
crosswoz_11592_turn3,40.77,very_long,streaming,1023.48,-911.05,1934.53,
crosswoz_11592_turn3,40.77,very_long,non-streaming,3775.92,3710.46,65.47,
multiwoz_MUL0666_turn4,41.25,very_long,streaming,1089.56,-558.59,1648.15,
multiwoz_MUL0666_turn4,41.25,very_long,non-streaming,3400.87,3330.90,69.97,
crosswoz_8717_turn3,41.78,very_long,streaming,1197.38,-276.19,1473.57,
crosswoz_8717_turn3,41.78,very_long,non-streaming,4069.05,3995.77,73.28,
multiwoz_PMUL2590_turn5,43.50,very_long,streaming,945.26,-1361.44,2306.70,
multiwoz_PMUL2590_turn5,43.50,very_long,non-streaming,3098.00,3028.37,69.63,
multiwoz_PMUL2296_turn4,43.66,very_long,streaming,1119.49,190.36,929.13,
multiwoz_PMUL2296_turn4,43.66,very_long,non-streaming,3594.12,3518.49,75.62,
multiwoz_MUL0023_turn4,43.92,very_long,streaming,886.44,-949.72,1836.16,
multiwoz_MUL0023_turn4,43.92,very_long,non-streaming,3212.25,3142.73,69.51,
multiwoz_PMUL2130_turn4,44.72,very_long,streaming,922.26,-837.76,1760.02,
multiwoz_PMUL2130_turn4,44.72,very_long,non-streaming,3309.91,3238.17,71.74,
multiwoz_MUL1330_turn4,46.49,very_long,streaming,986.27,-751.21,1737.48,
multiwoz_MUL1330_turn4,46.49,very_long,non-streaming,3425.03,3355.99,69.05,
crosswoz_8907_turn4,46.73,very_long,streaming,1141.71,-480.05,1621.76,
crosswoz_8907_turn4,46.73,very_long,non-streaming,3996.83,3928.30,68.53,
crosswoz_11613_turn5,46.92,very_long,streaming,1121.09,-492.77,1613.86,
crosswoz_11613_turn5,46.92,very_long,non-streaming,4116.75,4048.62,68.14,
crosswoz_10382_turn4,46.93,very_long,streaming,894.94,-1056.45,1951.39,
crosswoz_10382_turn4,46.93,very_long,non-streaming,4055.77,3986.45,69.32,
multiwoz_PMUL4612_turn5,47.23,very_long,streaming,882.91,-702.07,1584.98,
multiwoz_PMUL4612_turn5,47.23,very_long,non-streaming,3844.36,3774.49,69.88,
multiwoz_PMUL1745_turn5,48.29,very_long,streaming,959.92,-873.97,1833.89,
multiwoz_PMUL1745_turn5,48.29,very_long,non-streaming,3690.21,3611.84,78.37,
multiwoz_PMUL3103_turn5,49.42,very_long,streaming,850.15,-951.31,1801.46,
multiwoz_PMUL3103_turn5,49.42,very_long,non-streaming,3481.96,3411.75,70.20,
crosswoz_7701_turn4,50.77,very_long,streaming,900.67,-872.57,1773.24,
crosswoz_7701_turn4,50.77,very_long,non-streaming,5160.80,5091.38,69.42,
crosswoz_9394_turn4,52.05,very_long,streaming,933.06,-1446.76,2379.82,
crosswoz_9394_turn4,52.05,very_long,non-streaming,4560.47,4491.11,69.36,
multiwoz_MUL1215_turn5,52.69,very_long,streaming,1231.21,-333.33,1564.54,
