sample_id,language,n_chars,ttfc_ms,total_ms,audio_sec,rtf,text_source,error
crosswoz_7701_turn3,zh,200,18150.14,35043.06,49.563,0.707,full_response,
crosswoz_8672_turn3,zh,207,16511.26,35156.95,49.656,0.708,full_response,
crosswoz_12315_turn3,zh,211,18376.52,37067.72,52.129,0.711,full_response,
crosswoz_8907_turn3,zh,214,18087.87,36814.56,50.596,0.728,full_response,
crosswoz_11592_turn2,zh,213,11602.66,35115.85,49.876,0.704,full_response,
crosswoz_9577_turn3,zh,218,12983.09,39723.29,53.801,0.738,full_response,
crosswoz_10574_turn4,zh,218,13223.78,37329.24,54.416,0.686,full_response,
crosswoz_11730_turn3,zh,200,10610.55,29550.97,42.284,0.699,full_response,
crosswoz_7196_turn3,zh,189,9815.09,34795.74,49.737,0.700,full_response,
crosswoz_11592_turn3,zh,191,16026.63,35805.43,48.692,0.735,full_response,
crosswoz_8717_turn3,zh,184,14896.69,28879.54,40.728,0.709,full_response,
crosswoz_8907_turn4,zh,213,15515.29,33773.51,47.032,0.718,full_response,
crosswoz_11613_turn5,zh,210,13279.14,35427.66,48.414,0.732,full_response,
crosswoz_10382_turn4,zh,205,9529.37,31781.65,44.478,0.715,full_response,
crosswoz_7701_turn4,zh,211,13333.52,36974.34,50.538,0.732,full_response,
crosswoz_9394_turn4,zh,219,14873.11,34826.19,48.971,0.711,full_response,
crosswoz_8202_turn4,zh,204,15368.68,34525.93,49.191,0.702,full_response,
crosswoz_7652_turn3,zh,212,12222.53,33593.71,48.994,0.686,full_response,
crosswoz_9577_turn4,zh,202,13755.32,34429.53,49.226,0.699,full_response,
crosswoz_12011_turn4,zh,208,12404.74,38136.26,52.756,0.723,full_response,
crosswoz_10040_turn4,zh,201,14138.72,33695.94,48.205,0.699,full_response,
crosswoz_98_turn3,zh,158,16428.59,27192.06,39.253,0.693,full_response,
crosswoz_12299_turn4,zh,192,14062.44,34796.74,49.807,0.699,full_response,
crosswoz_11406_turn5,zh,192,11128.33,33053.22,41.668,0.793,full_response,
crosswoz_10331_turn4,zh,208,13318.20,35004.08,48.657,0.719,full_response,
multiwoz_PMUL0271_turn3,en,99,12211.06,12316.86,17.369,0.709,full_response,
multiwoz_PMUL2590_turn4,en,242,9044.79,38606.72,52.849,0.731,full_response,
multiwoz_MUL2016_turn3,en,236,19091.85,36505.74,49.865,0.732,full_response,
multiwoz_MUL1031_turn3,en,214,10604.96,31500.29,43.665,0.721,full_response,
multiwoz_PMUL2936_turn4,en,212,11563.76,35501.78,48.356,0.734,full_response,
multiwoz_PMUL4031_turn4,en,243,15795.73,36063.77,51.873,0.695,full_response,
multiwoz_PMUL4612_turn4,en,260,8385.22,37533.85,52.187,0.719,full_response,
multiwoz_MUL0183_turn4,en,217,9343.75,30487.21,41.123,0.741,full_response,
multiwoz_MUL0666_turn4,en,216,10754.42,34753.77,49.667,0.700,full_response,
multiwoz_PMUL2590_turn5,en,221,14634.44,34224.03,50.213,0.682,full_response,
multiwoz_PMUL2296_turn4,en,229,8639.50,35203.50,50.887,0.692,full_response,
multiwoz_MUL0023_turn4,en,216,10617.48,29304.02,41.215,0.711,full_response,
multiwoz_PMUL2130_turn4,en,222,15304.66,34316.75,47.880,0.717,full_response,
multiwoz_MUL1330_turn4,en,230,12472.21,30172.50,42.353,0.712,full_response,
multiwoz_PMUL4612_turn5,en,247,9235.97,35750.62,49.238,0.726,full_response,
multiwoz_PMUL1745_turn5,en,182,10508.71,28595.69,40.693,0.703,full_response,
multiwoz_PMUL3103_turn5,en,214,13057.99,39713.95,54.404,0.730,full_response,
multiwoz_MUL1215_turn5,en,217,11484.02,32505.63,42.551,0.764,full_response,
multiwoz_MUL2018_turn5,en,193,11648.11,29108.37,42.121,0.691,full_response,
multiwoz_MUL1459_turn5,en,188,12533.09,32585.97,42.945,0.759,full_response,
multiwoz_PMUL0085_turn5,en,220,11197.58,32423.84,45.976,0.705,full_response,
multiwoz_PMUL3103_turn6,en,212,13906.14,36219.75,50.492,0.717,full_response,
multiwoz_PMUL1745_turn6,en,149,12458.83,23223.19,33.948,0.684,full_response,
multiwoz_MUL0183_turn5,en,219,10514.92,34404.24,48.437,0.710,full_response,
multiwoz_PMUL4031_turn5,en,233,11462.10,38196.91,53.441,0.715,full_response,
