mode,language,metric,n,mean,std,p50,p90,p95
streaming,en,ttfa_playable_ms,1,2894.3,nan,2894.3,2894.3,2894.3
streaming,en,ttfa_received_ms,1,2894.3,nan,2894.3,2894.3,2894.3
streaming,en,t_trailing_feed_wait,1,0.1,nan,,,
streaming,en,t_flush_to_close,1,103.6,nan,,,
streaming,en,t_close_to_first_token,1,1395.2,nan,,,
streaming,en,t_first_token_to_text_ready,1,103.8,nan,,,
streaming,en,t_text_ready_to_tts_req,1,0.4,nan,,,
streaming,en,t_tts_to_playable,1,1291.3,nan,,,
streaming,ALL,ttfa_playable_ms,1,2894.3,nan,2894.3,2894.3,2894.3
streaming,ALL,ttfa_received_ms,1,2894.3,nan,2894.3,2894.3,2894.3
streaming,ALL,t_trailing_feed_wait,1,0.1,nan,,,
streaming,ALL,t_flush_to_close,1,103.6,nan,,,
streaming,ALL,t_close_to_first_token,1,1395.2,nan,,,
streaming,ALL,t_first_token_to_text_ready,1,103.8,nan,,,
streaming,ALL,t_text_ready_to_tts_req,1,0.4,nan,,,
streaming,ALL,t_tts_to_playable,1,1291.3,nan,,,
