sample_id,mode,n_valid,cv_pct,note
crosswoz_11592_turn2,non-streaming,3,4.64,
crosswoz_11592_turn2,streaming,3,11.67,
crosswoz_12315_turn3,non-streaming,3,20.70,
crosswoz_12315_turn3,streaming,3,1.11,
crosswoz_7701_turn3,non-streaming,3,5.88,
crosswoz_7701_turn3,streaming,3,5.62,
crosswoz_8672_turn3,non-streaming,3,1.30,
crosswoz_8672_turn3,streaming,3,1.60,
crosswoz_8907_turn3,non-streaming,3,7.03,
crosswoz_8907_turn3,streaming,3,7.23,
multiwoz_MUL1031_turn3,non-streaming,3,9.54,
multiwoz_MUL1031_turn3,streaming,3,10.95,
multiwoz_MUL2016_turn3,non-streaming,3,6.77,
multiwoz_MUL2016_turn3,streaming,3,10.67,
multiwoz_PMUL0271_turn3,non-streaming,3,10.77,
multiwoz_PMUL0271_turn3,streaming,3,2.06,
multiwoz_PMUL2590_turn4,non-streaming,3,3.07,
multiwoz_PMUL2590_turn4,streaming,3,10.13,
multiwoz_PMUL2936_turn4,non-streaming,3,18.15,
multiwoz_PMUL2936_turn4,streaming,3,5.72,
