mode,language,metric,n,mean,std,p50,p90,p95
streaming,zh,ttfa_playable_ms,25,3303.3,2681.3,2603.0,3130.4,8299.2
streaming,zh,ttfa_received_ms,25,3303.2,2681.3,2602.9,3130.4,8299.1
streaming,zh,t_trailing_feed_wait,25,0.1,0.0,,,
streaming,zh,t_flush_to_close,25,126.5,71.5,,,
streaming,zh,t_close_to_first_token,25,1351.3,222.5,,,
streaming,zh,t_first_token_to_text_ready,25,115.7,274.3,,,
streaming,zh,t_text_ready_to_tts_req,25,0.4,0.1,,,
streaming,zh,t_tts_to_playable,25,1709.3,2319.6,,,
streaming,en,ttfa_playable_ms,25,7660.5,2781.2,7577.0,10940.4,11857.2
streaming,en,ttfa_received_ms,25,7660.4,2781.2,7576.9,10940.3,11857.1
streaming,en,t_trailing_feed_wait,25,0.1,0.0,,,
streaming,en,t_flush_to_close,25,139.6,121.1,,,
streaming,en,t_close_to_first_token,25,1414.8,327.3,,,
streaming,en,t_first_token_to_text_ready,25,658.3,384.2,,,
streaming,en,t_text_ready_to_tts_req,25,0.5,0.1,,,
streaming,en,t_tts_to_playable,25,5447.3,2451.0,,,
streaming,ALL,ttfa_playable_ms,50,5481.9,3486.1,3113.7,10506.6,11656.3
streaming,ALL,ttfa_received_ms,50,5481.8,3486.1,3113.7,10506.5,11656.2
streaming,ALL,t_trailing_feed_wait,50,0.1,0.0,,,
streaming,ALL,t_flush_to_close,50,133.0,98.7,,,
streaming,ALL,t_close_to_first_token,50,1383.1,278.8,,,
streaming,ALL,t_first_token_to_text_ready,50,387.0,429.2,,,
streaming,ALL,t_text_ready_to_tts_req,50,0.4,0.1,,,
streaming,ALL,t_tts_to_playable,50,3578.3,3023.6,,,
non-streaming,zh,ttfa_playable_ms,25,22616.8,2197.2,22161.4,25459.9,26874.8
non-streaming,zh,ttfa_received_ms,25,22616.8,2197.2,22161.3,25459.8,26874.8
non-streaming,zh,t_trailing_feed_wait,25,0.1,0.0,,,
non-streaming,zh,t_flush_to_close,25,0.0,0.0,,,
non-streaming,zh,t_close_to_first_token,25,4530.9,860.1,,,
non-streaming,zh,t_first_token_to_text_ready,25,4774.4,330.3,,,
non-streaming,zh,t_text_ready_to_tts_req,25,0.6,0.1,,,
non-streaming,zh,t_tts_to_playable,25,13310.8,2461.1,,,
non-streaming,en,ttfa_playable_ms,25,22234.7,2850.4,22439.6,25274.4,26487.5
non-streaming,en,ttfa_received_ms,25,22234.6,2850.4,22439.6,25274.3,26487.4
non-streaming,en,t_trailing_feed_wait,25,0.1,0.0,,,
non-streaming,en,t_flush_to_close,25,0.0,0.0,,,
non-streaming,en,t_close_to_first_token,25,3834.9,809.5,,,
non-streaming,en,t_first_token_to_text_ready,25,4587.7,754.2,,,
non-streaming,en,t_text_ready_to_tts_req,25,0.6,0.1,,,
non-streaming,en,t_tts_to_playable,25,13811.4,2590.8,,,
non-streaming,ALL,ttfa_playable_ms,50,22425.7,2526.1,22269.9,25588.8,26887.4
non-streaming,ALL,ttfa_received_ms,50,22425.7,2526.1,22269.8,25588.7,26887.3
non-streaming,ALL,t_trailing_feed_wait,50,0.1,0.0,,,
non-streaming,ALL,t_flush_to_close,50,0.0,0.0,,,
non-streaming,ALL,t_close_to_first_token,50,4182.9,898.3,,,
non-streaming,ALL,t_first_token_to_text_ready,50,4681.1,583.9,,,
non-streaming,ALL,t_text_ready_to_tts_req,50,0.6,0.1,,,
non-streaming,ALL,t_tts_to_playable,50,13561.1,2513.6,,,
