mode,language,metric,n,mean,std,p50,p90,p95
streaming,zh,ttfa_playable_ms,2,2582.4,39.2,2582.4,2604.6,2607.4
streaming,zh,ttfa_received_ms,2,2582.3,39.3,2582.3,2604.5,2607.3
streaming,zh,t_trailing_feed_wait,2,0.1,0.1,,,
streaming,zh,t_flush_to_close,2,100.5,9.8,,,
streaming,zh,t_close_to_first_token,2,1310.2,84.1,,,
streaming,zh,t_first_token_to_text_ready,2,36.2,0.1,,,
streaming,zh,t_text_ready_to_tts_req,2,0.4,0.1,,,
streaming,zh,t_tts_to_playable,2,1134.9,54.9,,,
streaming,en,ttfa_playable_ms,1,3045.0,nan,3045.0,3045.0,3045.0
streaming,en,ttfa_received_ms,1,3044.9,nan,3044.9,3044.9,3044.9
streaming,en,t_trailing_feed_wait,1,0.1,nan,,,
streaming,en,t_flush_to_close,1,121.6,nan,,,
streaming,en,t_close_to_first_token,1,1525.7,nan,,,
streaming,en,t_first_token_to_text_ready,1,128.9,nan,,,
streaming,en,t_text_ready_to_tts_req,1,0.5,nan,,,
streaming,en,t_tts_to_playable,1,1268.2,nan,,,
streaming,ALL,ttfa_playable_ms,3,2736.6,268.5,2610.1,2958.0,3001.5
streaming,ALL,ttfa_received_ms,3,2736.5,268.5,2610.1,2958.0,3001.4
streaming,ALL,t_trailing_feed_wait,3,0.1,0.1,,,
streaming,ALL,t_flush_to_close,3,107.5,14.0,,,
streaming,ALL,t_close_to_first_token,3,1382.0,137.9,,,
streaming,ALL,t_first_token_to_text_ready,3,67.1,53.5,,,
streaming,ALL,t_text_ready_to_tts_req,3,0.5,0.1,,,
streaming,ALL,t_tts_to_playable,3,1179.3,86.2,,,
non-streaming,zh,ttfa_playable_ms,1,22276.4,nan,22276.4,22276.4,22276.4
non-streaming,zh,ttfa_received_ms,1,22276.1,nan,22276.1,22276.1,22276.1
non-streaming,zh,t_trailing_feed_wait,1,0.1,nan,,,
non-streaming,zh,t_flush_to_close,1,0.0,nan,,,
non-streaming,zh,t_close_to_first_token,1,3239.2,nan,,,
non-streaming,zh,t_first_token_to_text_ready,1,5631.3,nan,,,
non-streaming,zh,t_text_ready_to_tts_req,1,0.8,nan,,,
non-streaming,zh,t_tts_to_playable,1,13405.0,nan,,,
non-streaming,en,ttfa_playable_ms,1,23400.8,nan,23400.8,23400.8,23400.8
non-streaming,en,ttfa_received_ms,1,23400.7,nan,23400.7,23400.7,23400.7
non-streaming,en,t_trailing_feed_wait,1,0.1,nan,,,
non-streaming,en,t_flush_to_close,1,0.0,nan,,,
non-streaming,en,t_close_to_first_token,1,2751.2,nan,,,
non-streaming,en,t_first_token_to_text_ready,1,1937.8,nan,,,
non-streaming,en,t_text_ready_to_tts_req,1,0.5,nan,,,
non-streaming,en,t_tts_to_playable,1,18711.1,nan,,,
non-streaming,ALL,ttfa_playable_ms,2,22838.6,795.1,22838.6,23288.4,23344.6
non-streaming,ALL,ttfa_received_ms,2,22838.4,795.3,22838.4,23288.3,23344.5
non-streaming,ALL,t_trailing_feed_wait,2,0.1,0.0,,,
non-streaming,ALL,t_flush_to_close,2,0.0,0.0,,,
non-streaming,ALL,t_close_to_first_token,2,2995.2,345.1,,,
non-streaming,ALL,t_first_token_to_text_ready,2,3784.6,2611.7,,,
non-streaming,ALL,t_text_ready_to_tts_req,2,0.6,0.2,,,
non-streaming,ALL,t_tts_to_playable,2,16058.1,3752.0,,,
