comparison,family,role,unit,n_pairs,mean_slow,mean_fast,diff_mean,diff_ci95,improvement,improvement_ci95,wilcoxon_stat,p_raw,p_holm,rank_biserial,cohens_dz,note
table3_long,table3_groups,Holm 族内,ms,121,1722.0419,1126.6330,595.4089,"[515.0288, 674.4433]",0.3458,"[0.3059, 0.3829]",206.0,2.005e-19,2.005e-19,0.9442,1.3107,
table3_very_long,table3_groups,Holm 族内,ms,208,3191.9693,1099.1614,2092.8078,"[1988.5999, 2196.6905]",0.6556,"[0.6375, 0.6728]",2.0,7.219e-36,1.444e-35,0.9998,2.7425,
table3_extra_long,table3_groups,Holm 族内,ms,679,6745.5698,1087.6970,5657.8728,"[5502.3915, 5819.9489]",0.8388,"[0.8331, 0.8441]",0.0,7.654e-113,2.296e-112,1.0000,2.6746,
table3_overall,standalone,主比较,ms,1008,5409.2644,1094.7365,4314.5279,"[4149.7706, 4481.5641]",0.7976,"[0.7899, 0.8050]",238.0,3.350e-166,,0.9991,1.6243,
table7_a_vs_b,standalone,验证性比较,ms,498,5310.7620,1573.9295,3736.8325,"[3498.7311, 3978.8110]",0.7036,"[0.6889, 0.7173]",266.0,1.331e-82,,0.9957,1.3423,
table7_b_vs_la,standalone,主比较,ms,498,2115.0409,1573.9295,541.1114,"[485.2529, 599.9460]",0.2558,"[0.2345, 0.2772]",5036.0,1.241e-70,,0.9189,0.8365,
r2_librispeech_clean,standalone,主比较(干净集),ms,75,2805.8762,1672.0856,1133.7906,"[832.7578, 1436.3608]",0.4041,"[0.3221, 0.4737]",334.0,8.357e-09,,0.7656,0.8352,
r2_aishell1_clean,standalone,主比较(干净集),ms,75,2871.6650,1698.7846,1172.8803,"[888.6692, 1473.5489]",0.4084,"[0.3414, 0.4677]",285.0,1.746e-09,,0.8000,0.8958,
r2_librispeech_snr10,r2_augmented,Holm 族内,ms,30,2201.3783,1654.2579,547.1204,"[299.5981, 797.8881]",0.2485,"[0.1480, 0.3361]",73.0,6.084e-04,5.476e-03,0.6860,0.7632,
r2_aishell1_snr10,r2_augmented,Holm 族内,ms,30,2311.7646,1654.7194,657.0452,"[394.2809, 909.6558]",0.2842,"[0.1898, 0.3592]",61.0,1.886e-04,1.886e-03,0.7376,0.8992,
r2_librispeech_snr15,r2_augmented,Holm 族内,ms,30,2334.2802,1801.4627,532.8175,"[225.9412, 821.3729]",0.2283,"[0.1047, 0.3308]",93.0,3.223e-03,1.289e-02,0.6000,0.6206,
r2_aishell1_snr15,r2_augmented,Holm 族内,ms,30,2290.5364,1630.6359,659.9005,"[393.7578, 916.9908]",0.2881,"[0.1893, 0.3680]",53.0,7.911e-05,8.702e-04,0.7720,0.8798,
r2_librispeech_snr20,r2_augmented,Holm 族内,ms,30,2228.8415,1633.0638,595.7777,"[287.7630, 893.1749]",0.2673,"[0.1420, 0.3699]",84.0,1.583e-03,7.916e-03,0.6387,0.6977,
r2_aishell1_snr20,r2_augmented,Holm 族内,ms,30,2294.6455,1696.0618,598.5837,"[313.5769, 882.4947]",0.2609,"[0.1501, 0.3515]",77.0,8.718e-04,5.585e-03,0.6688,0.7414,
r2_librispeech_babble,r2_augmented,Holm 族内,ms,29,2301.2668,2818.1385,-516.8716,"[-1087.6618, 2.3033]",-0.2246,"[-0.4727, 0.0011]",113.0,2.291e-02,4.582e-02,-0.4805,-0.3385,
r2_aishell1_babble,r2_augmented,Holm 族内,ms,30,2227.7469,2082.2459,145.5010,"[-279.7619, 522.6361]",0.0653,"[-0.1282, 0.2268]",178.0,2.710e-01,2.710e-01,0.2344,0.1282,
r2_librispeech_speed09,r2_augmented,Holm 族内,ms,30,2341.8343,1602.3683,739.4660,"[445.4360, 1013.1848]",0.3158,"[0.2062, 0.4023]",40.0,1.598e-05,1.917e-04,0.8280,0.9185,
r2_aishell1_speed09,r2_augmented,Holm 族内,ms,30,2236.4834,1539.0709,697.4125,"[408.2744, 986.1367]",0.3118,"[0.2029, 0.4024]",74.0,6.666e-04,5.476e-03,0.6817,0.8311,
r2_librispeech_speed11,r2_augmented,Holm 族内,ms,30,2181.7460,1657.0457,524.7003,"[263.2825, 786.3401]",0.2405,"[0.1330, 0.3313]",94.0,3.475e-03,1.289e-02,0.5957,0.6951,
r2_aishell1_speed11,r2_augmented,Holm 族内,ms,30,2125.3879,1623.5832,501.8047,"[271.4152, 737.1680]",0.2361,"[0.1403, 0.3187]",76.0,7.979e-04,5.585e-03,0.6731,0.7554,
r5_solo_b_minus_a,standalone,探索性（仅 CI，不做等价性检验）,score,50,3.0400,3.1000,-0.0600,"[-0.3400, 0.2200]",,,,,,,,bootstrap_only; 差值方向 B−A
