CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE    MAXMHZ   MINMHZ      MHZ
  0    0      0    0 0:0:0:0          yes 3100.0000 800.0000 1911.533
  1    0      0    1 1:1:1:0          yes 3100.0000 800.0000  800.000
  2    0      0    2 2:2:2:0          yes 3100.0000 800.0000 2677.237
  3    0      0    3 3:3:3:0          yes 3100.0000 800.0000  800.000
  4    0      0    4 4:4:4:0          yes 3100.0000 800.0000  800.000
  5    0      0    5 5:5:5:0          yes 3100.0000 800.0000 2600.000
  6    0      0    6 6:6:6:0          yes 3100.0000 800.0000 3100.000
  7    0      0    7 7:7:7:0          yes 3100.0000 800.0000 2793.571
  8    0      0    8 8:8:8:0          yes 3100.0000 800.0000  800.000
  9    0      0    9 9:9:9:0          yes 3100.0000 800.0000 1400.000
 10    0      0   10 10:10:10:0       yes 3100.0000 800.0000  800.000
 11    0      0   11 11:11:11:0       yes 3100.0000 800.0000  800.000
 12    0      0   12 12:12:12:0       yes 3100.0000 800.0000 1417.331
 13    0      0   13 13:13:13:0       yes 3100.0000 800.0000 1698.128
 14    0      0   14 14:14:14:0       yes 3100.0000 800.0000 2664.745
 15    0      0   15 15:15:15:0       yes 3100.0000 800.0000  800.000
 16    0      0   16 16:16:16:0       yes 3100.0000 800.0000  800.000
 17    0      0   17 17:17:17:0       yes 3100.0000 800.0000  800.000
 18    0      0   18 18:18:18:0       yes 3100.0000 800.0000  800.000
 19    0      0   19 19:19:19:0       yes 3100.0000 800.0000  800.000
 20    0      0   20 20:20:20:0       yes 3100.0000 800.0000 1777.560
 21    0      0   21 21:21:21:0       yes 3100.0000 800.0000 2000.000
 22    0      0   22 22:22:22:0       yes 3100.0000 800.0000  800.000
 23    0      0   23 23:23:23:0       yes 3100.0000 800.0000  800.000
 24    0      0   24 24:24:24:0       yes 3100.0000 800.0000  800.000
 25    0      0   25 25:25:25:0       yes 3100.0000 800.0000  800.000
 26    0      0   26 26:26:26:0       yes 3100.0000 800.0000  800.000
 27    0      0   27 27:27:27:0       yes 3100.0000 800.0000 2546.100
 28    1      1   28 64:64:64:1       yes 3100.0000 800.0000 2040.016
 29    1      1   29 65:65:65:1       yes 3100.0000 800.0000 2655.827
 30    1      1   30 66:66:66:1       yes 3100.0000 800.0000 2720.418
 31    1      1   31 67:67:67:1       yes 3100.0000 800.0000 2464.524
 32    1      1   32 68:68:68:1       yes 3100.0000 800.0000 2165.682
 33    1      1   33 69:69:69:1       yes 3100.0000 800.0000  800.000
 34    1      1   34 70:70:70:1       yes 3100.0000 800.0000  800.000
 35    1      1   35 71:71:71:1       yes 3100.0000 800.0000  800.000
 36    1      1   36 72:72:72:1       yes 3100.0000 800.0000  800.000
 37    1      1   37 73:73:73:1       yes 3100.0000 800.0000 2084.804
 38    1      1   38 74:74:74:1       yes 3100.0000 800.0000  800.000
 39    1      1   39 75:75:75:1       yes 3100.0000 800.0000  800.000
 40    1      1   40 76:76:76:1       yes 3100.0000 800.0000  800.000
 41    1      1   41 77:77:77:1       yes 3100.0000 800.0000  800.000
